,StateName,f_voters_turnout,m_voters_turnout,year
1291,Madhya Pradesh,33.68050748888619,51.85786305304817,2004
1293,Madhya Pradesh,48.46362820439938,60.50502609939337,2009
1295,Madhya Pradesh,30.01765382412752,47.491268180430296,2004
1304,Madhya Pradesh,38.630733664286495,58.62824823988806,2004
1308,Madhya Pradesh,39.6117447435072,49.79220176368833,2009
1309,Madhya Pradesh,42.76794027735434,55.44682302972546,2009
1311,Madhya Pradesh,59.64805477372804,71.01473731578355,2014
1312,Madhya Pradesh,46.31299770300586,61.88366924230982,2009
1313,Madhya Pradesh,48.180859009163875,64.52209090414925,2004
1315,Madhya Pradesh,38.75369851827053,56.738698669149734,1999
1316,Madhya Pradesh,39.563520903884914,55.359107316793676,1999
1317,Madhya Pradesh,42.56563981475789,61.570540178027066,2009
1318,Madhya Pradesh,59.650563337420834,71.41411024220186,2004
1319,Madhya Pradesh,29.297277421040956,53.78417180681593,2004
1323,Madhya Pradesh,42.48385009737562,55.91736446611747,2009
1324,Madhya Pradesh,33.49957035503564,51.84277030466971,2009
1325,Madhya Pradesh,34.892443238728596,49.27354593139302,2004
1326,Madhya Pradesh,53.42230733283879,61.55339973998054,2014
1327,Madhya Pradesh,46.07087073869281,59.809610910358344,2004
1328,Madhya Pradesh,37.82486792000107,49.02993570941381,2009
1329,Madhya Pradesh,61.3891360574042,68.58227200703594,2014
1330,Madhya Pradesh,36.65589359520184,52.64248077446862,2014
1331,Madhya Pradesh,68.30618584708425,74.20318943341324,2014
1332,Madhya Pradesh,64.30295776483516,70.81814039600648,2014
1333,Madhya Pradesh,43.3868768378829,62.98593777411185,2009
1334,Madhya Pradesh,50.45667392396583,61.70188541178939,2009
1338,Maharashtra,61.86318860186868,69.97288445962602,1999
1341,Maharashtra,40.69038433190499,44.72902546050533,1999
1344,Maharashtra,49.083456881046565,54.75194747647427,2009
1345,Maharashtra,69.662503653023,71.61067444219067,1999
1348,Maharashtra,39.65555183142556,43.85152508787243,1999
1350,Maharashtra,68.39267067386369,76.31055630754834,1999
1351,Maharashtra,54.366500298832975,60.21499401809231,2009
1352,Maharashtra,58.71076229958601,67.12456098724745,1999
1356,Maharashtra,47.7809967000813,50.619574484576034,2004
1357,Maharashtra,39.85814719742539,46.67551190233797,2009
1360,Maharashtra,68.90174401165531,75.57529011588163,1999
1362,Maharashtra,50.50531860969644,61.57102089965855,2004
1363,Maharashtra,59.33012768182784,65.17565724240316,2014
1364,Maharashtra,47.42038778518196,54.90619147872007,2009
1365,Maharashtra,49.069697050628065,59.582312090113454,2009
1366,Maharashtra,61.45382062074394,69.99194354882555,1999
1368,Maharashtra,52.33142560476644,58.931964096699915,2014
1371,Maharashtra,39.779461816707595,44.94532891974406,2009
1372,Maharashtra,52.721302202809284,64.15344260394475,1999
1373,Maharashtra,46.666442233944764,54.52101804654603,2009
1376,Maharashtra,57.16969604021135,62.38127760324181,2014
1378,Maharashtra,45.99455853414055,56.37003258027179,2009
1380,Maharashtra,62.12104560478028,72.68605991120366,1999
1381,Maharashtra,60.842724138989844,65.87319827467331,2004
1382,Maharashtra,37.96139987563943,46.43120745742325,2009
1384,Maharashtra,68.71991476419004,76.19097198536619,1999
1386,Maharashtra,52.98696007148887,62.42110610744207,1999
1388,Maharashtra,46.86883738577411,51.53750324887746,1999
1390,Maharashtra,49.83352605260222,51.09962055489792,2014
1391,Maharashtra,62.85260631721842,65.48388550105875,1999
1392,Maharashtra,64.47803742595232,70.40375069141444,1999
1393,Maharashtra,59.576549055012585,63.32401002540544,1999
1397,Maharashtra,55.45825494106785,61.516235472241064,2014
1398,Maharashtra,44.017166664745815,47.50925334069176,1999
1399,Maharashtra,54.32741841146898,62.69472456645443,2014
1403,Maharashtra,61.278426436114486,67.5902648444471,1999
1405,Maharashtra,49.57547939016598,58.13062101689531,2009
1406,Maharashtra,55.867725862555226,63.02228269135123,2014
1407,Maharashtra,51.856666057368784,56.2146086454688,2014
1408,Maharashtra,54.99057437481694,60.557522182303,2014
1410,Maharashtra,62.68802119865949,68.99497561805818,1999
1413,Maharashtra,62.988903257655835,68.77114556456638,2014
1414,Maharashtra,45.160466233966204,47.870068344206274,1999
1417,Maharashtra,70.49412675433688,74.0909416450738,1999
1419,Maharashtra,48.154152623305365,56.82989056020173,2004
1420,Maharashtra,37.74306538231058,43.349026005305106,2009
1421,Maharashtra,44.09294234592445,46.30250114132916,1999
1425,Maharashtra,49.46037038379299,54.78024248734697,1999
1426,Maharashtra,60.649979635208105,70.10086883807101,1999
1427,Maharashtra,56.297482101748955,60.372065505333026,2004
1429,Maharashtra,44.770285813799006,54.49504208470547,2009
1430,Maharashtra,58.95811990520128,63.427317353800774,2014
1433,Maharashtra,61.741780285440385,60.73086226057397,2004
1434,Maharashtra,30.589288765849826,37.479230647163696,2009
1436,Maharashtra,62.36735442400582,71.14127196957043,2004
1437,Maharashtra,38.259773145413554,46.47891505897548,2009
1439,Maharashtra,47.13460875560151,55.509093447455605,2009
1441,Maharashtra,41.574198110766794,53.223251031597684,2009
1442,Maharashtra,55.63336998017607,61.52876046212644,2004
1443,Maharashtra,59.30040964385472,69.05670857086336,1999
1445,Maharashtra,61.07450925537371,67.41477173615421,2014
1446,Maharashtra,36.36518464291748,49.24583842505138,2004
1447,Maharashtra,59.10365009064061,64.49315588536557,2004
1448,Maharashtra,52.21086443712044,57.348768971289665,2009
1452,Maharashtra,44.45241637071425,52.342824538520325,2004
1453,Maharashtra,45.976955481195105,50.09709084464572,2009
1456,Maharashtra,44.96144493712859,50.38912127910965,2004
1459,Maharashtra,54.85919816574574,59.027318112974704,2014
1460,Maharashtra,48.44865850996372,48.788176973295236,2014
1462,Maharashtra,40.35336506535626,44.14766040490414,2009
1463,Maharashtra,67.9259241722991,75.02339161509238,1999
1465,Maharashtra,40.89166668877352,47.97654916965541,2009
1467,Maharashtra,61.218775115371606,65.45914429790618,2014
1469,Maharashtra,50.594089656616184,59.71580470779683,2004
1470,Maharashtra,60.40412390300097,69.59714015213346,2004
1472,Maharashtra,66.5554333084226,73.06384683333675,2004
