,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
2095,Tamil Nadu,TN,S22,1,Chennai North,707700,714428,1422392,463981,445554,909539,2014,339,,1,CHENNAI NORTH
2196,Tamil Nadu,TN,S22,1,Chennai South,901211,894252,1795776,556403,527433,1083847,2014,340,,0,CHENNAI SOUTH
1283,Madhya Pradesh,MP,S12,1,CHHINDWARA,722052,679956,1402038,584697,522618,1107315,2014,210,,1,CHHINDWARA
656,Gujarat,GJ,S06,1,Chhota Udaipur,798160,738143,1536305,590131,504411,1094542,2014,121,,0,CHHOTA UDAIPUR
2026,Tamil Nadu,TN,S22,1,Chidambaram ,686862,679307,1366190,530346,556097,1086444,2014,364,,1,CHIDAMBARAM
941,Karnataka,KA,S10,1,Chikkballapur ,843790,814500,1658410,652727,608718,1261451,2014,173,,0,CHIKKBALLAPUR
901,Karnataka,KA,S10,1,Chikkodi,746023,696120,1442206,564052,506614,1070668,2014,147,,1,CHIKKODI
904,Karnataka,KA,S10,1,Chitradurga,844869,816317,1661277,572567,524303,1096871,2014,164,,0,CHITRADURGA
82,Andhra Pradesh,AP,S01,1,Chittoor,723865,727853,1451851,595000,597153,1192153,2014,42,,1,CHITTOOR
1875,Rajasthan,RJ,S20,1,Chittorgarh,929217,890287,1819506,630617,539259,1169876,2014,332,,0,CHITTORGARH
1924,Rajasthan,RJ,S20,1,Churu,928059,825765,1753825,598297,529280,1127578,2014,314,,0,CHURU
2080,Tamil Nadu,TN,S22,1,Coimbatore,869033,851127,1720221,608444,565861,1174312,2014,357,,0,COIMBATORE
2913,West Bengal,WB,S25,1,Cooch behar,848641,764757,1613403,687125,642008,1329133,2014,459,,0,COOCHBEHAR
2160,Tamil Nadu,TN,S22,1,Cuddalore,625652,622218,1247908,485201,497002,982208,2014,363,,1,CUDDALORE
1762,Odisha,OD,S18,1,Cuttack,731912,639680,1371617,522746,455864,978610,2014,291,,1,CUTTACK
