,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation,Constituency1
2105,Tamil Nadu,TN,S22,1,Salem,759981,738253,1498350,593293,555869,1149174,2014,352,,1,SALEM
2348,Uttar Pradesh,UP,S24,1,Salempur,904632,756980,1661737,450187,404269,854457,2014,449,,0,SALEMPUR
535,Bihar,BH,S04,1,Samastipur (SC),802420,702007,1504451,430782,432401,863183,2014,81,,1,SAMASTIPUR (SC)
1747,Odisha,OD,S18,1,Sambalpur,669036,627982,1297098,504240,476826,981068,2014,280,,1,SAMBALPUR
2684,Uttar Pradesh,UP,S24,1,Sambhal,931603,761516,1693229,599491,456319,1055817,2014,386,,0,SAMBHAL
1491,Maharashtra,MH,S13,1,Sangli,861582,787493,1649107,556695,486169,1042869,2014,267,,0,SANGLI
1807,Punjab,PB,S19,1,Sangrur,758197,666535,1424743,583555,516181,1099736,2014,310,,1,SANGRUR
2544,Uttar Pradesh,UP,S24,1,Sant Kabir Nagar,1045424,858808,1904315,521201,490916,1012117,2014,440,,0,SANT KABIR NAGAR
490,Bihar,BH,S04,1,Saran,832441,706266,1538740,450511,411954,862465,2014,78,,0,SARAN
3060,Chhattisgarh,CT,S26,1,SARGUJA,771106,751862,1523022,610812,576493,1187305,2014,501,,1,SARGUJA
557,Bihar,BH,S04,1,Sasaram (SC) ,859397,748291,1607747,448672,397016,845688,2014,92,,0,SASARAM (SC) 
1606,Maharashtra,MH,S13,1,Satara,883947,836051,1719998,519148,456561,975709,2014,268,,0,SATARA
1204,Madhya Pradesh,MP,S12,1,SATNA,772234,686123,1458381,499873,413407,913280,2014,203,,1,SATNA
28,Andhra Pradesh,AP,S01,1,Secundrabad,1012740,880779,1893741,546289,457397,1003689,2014,8,,0,SECUNDRABAD
1240,Madhya Pradesh,MP,S12,1,SHAHDOL,806746,754219,1561016,527809,440179,967988,2014,206,,0,SHAHDOL
2331,Uttar Pradesh,UP,S24,1,Shahjahanpur ,1100020,879139,1979294,663380,464707,1128087,2014,405,,0,SHAHJAHANPUR 
437,Bihar,BH,S04,1,Sheohar,792374,693355,1485801,433327,409336,842663,2014,62,,1,SHEOHAR
1649,Meghalaya,ML,S15,2,Shillong,480409,500331,980740,292971,326895,619866,2014,274,,1,SHILLONG
830,Himachal Pradesh,HP,S08,2,Shimla,607137,546225,1153363,403062,333715,736777,2014,140,,1,SHIMLA
947,Karnataka,KA,S10,1,Shimoga,778782,783379,1562243,572307,556790,1129107,2014,160,,0,SHIMOGA
1594,Maharashtra,MH,S13,1,Shirdi,768181,694085,1462267,519824,412130,931954,2014,261,,1,SHIRDI
1406,Maharashtra,MH,S13,1,Shirur,973132,850960,1824112,613290,475412,1088702,2014,259,,0,SHIRUR
2578,Uttar Pradesh,UP,S24,1,Shrawasti,976415,811613,1788080,559351,420598,979951,2014,436,,0,SHRAWASTI
1226,Madhya Pradesh,MP,S12,1,SIDHI,915799,820208,1736048,547499,441120,988619,2014,205,,0,SIDHI
1977,Rajasthan,RJ,S20,1,Sikar,943691,826191,1769882,552960,507618,1060578,2014,316,,0,SIKAR
2018,Sikkim,SK,S21,2,Sikkim,191017,179753,370770,153370,146197,299567,2014,337,,1,SIKKIM
316,Assam,AS,S03,1,Silchar,554540,505558,1060175,428972,370918,799890,2014,46,,1,SILCHAR
3130,Jharkhand,JH,S27,1,Singhbhum,583330,569300,1152632,403571,391653,795224,2014,521,,1,SINGHBHUM
769,Haryana,HR,S07,1,Sirsa,886303,774254,1660557,692765,586098,1278863,2014,129,,0,SIRSA
539,Bihar,BH,S04,1,Sitamarhi,832370,742498,1574914,448849,451628,900477,2014,63,,0,SITAMARHI
2496,Uttar Pradesh,UP,S24,1,Sitapur,838148,712053,1550263,581709,444625,1026334,2014,408,,0,SITAPUR
2165,Tamil Nadu,TN,S22,1,Sivaganga,704489,707884,1412373,474734,551559,1026293,2014,368,,1,SIVAGANGA
395,Bihar,BH,S04,1,Siwan,841735,722100,1563860,443827,440178,884005,2014,76,,0,SIWAN
1368,Maharashtra,MH,S13,1,Solapur,893734,808990,1702739,526695,423356,950051,2014,265,,0,SOLAPUR
766,Haryana,HR,S07,1,Sonipat,777824,639364,1417188,551189,434412,985601,2014,132,,1,SONIPAT
3245,NCT OF Delhi,DL,U05,2,SOUTH DELHI,1005299,747322,1752748,639042,462222,1101277,2014,541,,0,SOUTH DELHI
595,Goa,GA,S05,2,South Goa,272438,272898,545336,195128,214329,409457,2014,100,,1,SOUTH GOA
2930,West Bengal,WB,S25,1,Srerampur,847931,776093,1624038,680999,608386,1289387,2014,485,,0,SRERAMPUR
24,Andhra Pradesh,AP,S01,1,Srikakulam,706347,707248,1413726,503114,543763,1046877,2014,19,,1,SRIKAKULAM
856,Jammu & Kashmir,JK,S09,2,Srinagar,631520,575702,1207230,178779,133429,312208,2014,142,,1,SRINAGAR
2055,Tamil Nadu,TN,S22,1,Sriperumbudur,982862,963377,1946503,665892,620230,1286127,2014,342,,0,SRIPERUMBUDUR
2316,Uttar Pradesh,UP,S24,1,Sultanpur,910134,793521,1703698,499563,465648,965211,2014,416,,0,SULTANPUR
1664,Odisha,OD,S18,1,Sundargarh,718689,691817,1410532,515013,493933,1008946,2014,279,,1,SUNDARGARH
581,Bihar,BH,S04,1,Supaul,797373,728185,1525583,468476,502044,970520,2014,66,,1,SUPAUL
622,Gujarat,GJ,S06,1,Surat,803829,680212,1484068,538576,407928,946507,2014,124,,1,SURAT
613,Gujarat,GJ,S06,1,Surendranagar,877745,778910,1656657,539246,399328,938575,2014,109,,0,SURENDRANAGAR
2939,West Bengal,WB,S25,1,Tamluk,796779,730482,1527273,684160,650897,1335058,2014,488,,1,TAMLUK
3164,Uttarakhand,UK,S28,2,Tehri Garhwal ,711671,640943,1352614,400041,370827,770868,2014,526,,1,TEHRI GARHWAL 
2144,Tamil Nadu,TN,S22,1,Tenkasi,688958,693084,1382081,489624,525986,1015613,2014,374,,1,TENKASI
301,Assam,AS,S03,1,Tezpur,654866,604702,1259568,505481,475043,980524,2014,53,,1,TEZPUR
1564,Maharashtra,MH,S13,1,Thane,1141737,931467,2073251,590956,462684,1053658,2014,248,,0,THANE
2125,Tamil Nadu,TN,S22,1,Thanjavur,662571,677465,1340050,480904,528697,1009604,2014,367,,1,THANJAVUR
2054,Tamil Nadu,TN,S22,1,Theni,720709,720492,1441302,528940,546154,1075107,2014,370,,1,THENI
2022,Tamil Nadu,TN,S22,1,Thiruvallur,852794,849777,1702833,644387,609702,1254112,2014,338,,0,THIRUVALLUR
1080,Kerala,KL,S11,1,Thiruvananthapuram,614438,658310,1272748,433243,437404,870647,2014,194,,1,THIRUVANANTHAPURAM
2077,Tamil Nadu,TN,S22,1,Thoothukkudi ,651207,659197,1310406,448396,466414,914811,2014,373,,1,THOOTHUKKUDI 
1108,Kerala,KL,S11,1,Thrissur,606518,668770,1275288,433933,485624,919557,2014,184,,1,THRISSUR
1178,Madhya Pradesh,MP,S12,1,TIKAMGARH,820670,708167,1528863,466852,299542,766398,2014,200,,1,TIKAMGARH
2115,Tamil Nadu,TN,S22,1,Tiruchirappalli,689228,697829,1387140,490711,494904,985655,2014,361,,1,TIRUCHIRAPPALLI
2052,Tamil Nadu,TN,S22,1,Tirunelveli,705592,714823,1420435,468701,492310,961013,2014,375,,1,TIRUNELVELI
107,Andhra Pradesh,AP,S01,1,Tirupati,778507,795485,1574161,602087,605328,1207418,2014,40,,0,TIRUPATI
2069,Tamil Nadu,TN,S22,1,Tiruppur,697730,677801,1375589,543168,505372,1048544,2014,355,,1,TIRUPPUR
2171,Tamil Nadu,TN,S22,1,Tiruvannamalai,675321,677622,1352966,527265,536809,1064076,2014,348,,1,TIRUVANNAMALAI
1921,Rajasthan,RJ,S20,1,TONK-SAWAI MADHOPUR,910730,800045,1710775,583732,459375,1043107,2014,323,,0,TONK-SAWAI MADHOPUR
2263,Tripura,TR,S23,2,Tripura East,581604,558672,1140276,486129,459313,945442,2014,378,,1,TRIPURA EAST
2264,Tripura,TR,S23,2,Tripura West,635974,612572,1248546,543278,523020,1066298,2014,377,,1,TRIPURA WEST
1021,Karnataka,KA,S10,1,Tumkur,764561,753839,1518518,565126,535597,1100735,2014,165,,1,TUMKUR
1647,Meghalaya,ML,S15,2,Tura,297230,289271,586501,232357,225763,458120,2014,275,,1,TURA
1988,Rajasthan,RJ,S20,1,Udaipur,930007,887933,1817940,599307,589859,1189166,2014,330,,0,UDAIPUR
865,Jammu & Kashmir,JK,S09,2,Udhampur,787637,681434,1469072,556791,484338,1041130,2014,145,,1,UDHAMPUR
956,Karnataka,KA,S10,1,Udupi Chikmagalur,679285,707947,1387294,510562,522488,1033051,2014,161,,1,UDUPI CHIKMAGALUR
407,Bihar,BH,S04,1,Ujiarpur,764186,662004,1426217,433858,425047,858905,2014,80,,1,UJIARPUR
1194,Madhya Pradesh,MP,S12,1,UJJAIN,790889,734560,1525481,571019,444831,1015857,2014,216,,1,UJJAIN
2974,West Bengal,WB,S25,1,Uluberia,761951,686678,1448632,629091,557334,1186425,2014,484,,1,ULUBERIA
2664,Uttar Pradesh,UP,S24,1,Unnao,1194394,969919,2164392,673666,526266,1199936,2014,411,,0,UNNAO
928,Karnataka,KA,S10,1,Uttara Kannada,742865,707704,1450599,521220,479217,1000437,2014,158,,1,UTTARA KANNADA
1084,Kerala,KL,S11,1,Vadakara,561168,621336,1182504,436972,520810,957782,2014,177,,1,VADAKARA
688,Gujarat,GJ,S06,1,Vadodara,849077,789218,1638321,621926,533715,1155656,2014,120,,0,VADODARA
533,Bihar,BH,S04,1,Vaishali,841773,724500,1566321,480759,445167,925926,2014,74,,0,VAISHALI
531,Bihar,BH,S04,1,Valmiki Nagar ,786312,670236,1456598,484433,415396,899838,2014,59,,1,VALMIKI NAGAR 
730,Gujarat,GJ,S06,1,Valsad,775073,736988,1512061,580599,538185,1118784,2014,126,,1,VALSAD
2269,Uttar Pradesh,UP,S24,1,Varanasi,985395,781000,1766487,593071,436735,1029816,2014,455,,0,VARANASI
2238,Tamil Nadu,TN,S22,1,Vellore,652066,660173,1312259,483341,490341,973687,2014,345,,1,VELLORE
1229,Madhya Pradesh,MP,S12,1,VIDISHA,872100,761915,1634039,619102,453345,1072447,2014,212,,0,VIDISHA
157,Andhra Pradesh,AP,S01,1,Vijayawada,781179,783169,1564513,599506,589998,1189514,2014,29,,0,VIJAYAWADA
2130,Tamil Nadu,TN,S22,1,Viluppuram,694932,691942,1387007,535359,528788,1064158,2014,350,,1,VILUPPURAM
2236,Tamil Nadu,TN,S22,1,Virudhunagar ,669589,680818,1350495,496203,512880,1009119,2014,371,,1,VIRUDHUNAGAR 
130,Andhra Pradesh,AP,S01,1,Visakhapatnam,874909,847941,1723011,583232,576946,1160178,2014,21,,0,VISAKHAPATNAM
133,Andhra Pradesh,AP,S01,1,Vizianagaram ,700639,702984,1403736,554616,564891,1119507,2014,20,,1,VIZIANAGARAM 
159,Andhra Pradesh,AP,S01,1,Warangal,771760,765862,1537778,590443,580206,1170723,2014,15,,0,WARANGAL
1573,Maharashtra,MH,S13,1,Wardha,817514,747024,1564552,553504,458674,1012178,2014,231,,0,WARDHA
1113,Kerala,KL,S11,1,Wayanad,614822,634598,1249420,454055,460171,914226,2014,178,,1,WAYANAD
3222,NCT OF Delhi,DL,U05,2,WEST DELHI,1108886,930409,2039410,742213,603424,1345645,2014,540,,0,WEST DELHI
1546,Maharashtra,MH,S13,1,Yavatmal-Washim,921276,834010,1755292,564176,467163,1031339,2014,237,,0,YAVATMAL-WASHIM
55,Andhra Pradesh,AP,S01,1,Zahirabad,717891,727389,1445354,546010,546798,1092808,2014,5,,1,ZAHIRABAD
