f_voter_turnout,year
62.98970227,1999
80.7644731,2009
72.40282783,1996
67.96215118,2014
70.89406331,1999
67.36117574,1998
63.2265975,2009
74.86272048,2014
77.67633097,2004
70.1882314,1996
69.06270686,1999
72.81635847,2014
72.01256372,1999
79.28880516,2014
66.65986502,2004
76.80939901,1996
71.44376701,2004
76.161593,1999
71.17123862,1998
68.14025623,1996
70.33047646,2009
72.38880128,1996
71.22666966,2004
61.01173717,1999
66.38814319,2004
63.45040425,2009
71.36534306,2014
72.46407636,2004
63.0597537,1996
63.37871413,2004
76.80399959,2009
70.96952876,1999
64.13806251,2014
69.6905976,2009
74.12854031,2009
73.21150639,2009
64.05204803,1999
73.6706894,1996
75.97425372,2014
68.60256108,1999
61.87073827,1999
76.92675408,1998
69.38022244,2004
76.34170006,2014
67.69962897,1999
74.07571882,1996
63.27112336,2014
43.88756334,2009
50.5372223,2004
36.54794475,1996
40.24018783,2009
52.71883576,1998
45.5705692,1999
51.1662556,1996
41.6051305,2004
66.63632888,1998
66.00675053,2014
52.73706508,2014
46.7569888,1999
46.59505045,1996
42.29821497,2014
51.71014996,1996
37.20421691,1999
51.49387414,2014
26.57545217,2004
47.70109097,2009
46.11504241,2014
35.71014056,2004
53.93852767,1999
53.62311235,1996
31.75594689,2004
55.49386381,2009
60.76958265,2014
40.9887503,1999
52.68341472,1998
57.20627512,1998
60.55747658,2014
50.26586935,2009
54.86514961,2009
44.72438065,1998
38.55354235,1999
42.47412515,1999
38.39544902,2004
44.8841694,2014
47.30875831,1996
66.44973296,1998
60.25260777,2014
37.53890544,1999
50.02775546,1999
49.85829068,1996
66.73384698,1998
52.61942121,1998
29.84450787,2004
48.04890043,1999
50.36587287,2009
42.24637911,1999
34.3119999,1999
57.47074016,2014
19.44875593,1996
37.30977642,2004
54.01601175,1998
42.62030282,2004
61.34161335,1996
54.32317549,1999
51.53231042,1999
42.09452648,2004
27.00937266,2009
50.03613507,1999
53.78147982,2014
55.8035799,1999
42.9001964,1999
59.50073171,2014
55.63323544,2004
44.71830331,1999
56.10200026,1998
46.52491571,2009
44.47281656,2004
50.99283413,1998
33.75564896,1999
35.5716439,2009
53.53440416,1999
32.7783986,2004
58.36222636,2014
55.31714906,1998
46.21715629,2004
50.35317288,2014
46.38354899,2014
58.96951036,1996
34.87334099,2009
32.24002666,2004
44.33634538,1996
41.62963707,1996
54.48382426,2014
60.3765016,2014
67.03037858,2014
42.99131611,1999
25.84339529,1999
52.81214881,1999
45.42134427,1999
32.89922257,2009
33.37179274,2009
52.14786316,2009
68.2725973,2009
45.98980651,2009
64.07167835,2014
59.02553319,1999
50.71359155,1998
52.68019442,1999
48.44473815,1996
46.06310337,1996
50.6119925,1999
38.05246187,2004
37.24456925,2009
42.38453594,1998
44.1641506,2004
59.16154607,1998
55.72120789,1998
43.70658934,2009
20.13712969,2004
40.29657504,1996
61.55343205,1998
44.05531224,2009
33.82632717,1996
52.60519679,1998
39.62536688,2004
76.86056157,2014
57.13828881,1998
41.31764521,2014
57.39401327,1998
37.11523321,2004
66.45291982,1998
43.10427032,2004
54.83393351,2014
33.68050749,2004
51.63283096,1996
48.4636282,2009
46.31407913,1996
30.01765382,2004
43.26158547,1996
58.06943499,1996
48.71940234,1996
48.401707,1996
61.02896913,1998
48.08331239,1998
47.12122261,1998
51.2874581,1998
38.63073366,2004
38.14360062,1996
38.12985122,1996
43.71338388,1996
39.61174474,2009
42.76794028,2009
50.85947889,1996
59.64805477,2014
46.3129977,2009
48.18085901,2004
50.9510118,1998
38.75369852,1999
39.5635209,1999
42.56563981,2009
59.65056334,2004
29.29727742,2004
53.67554968,1996
42.05298895,1996
59.27124103,1998
42.4838501,2009
33.49957036,2009
34.89244324,2004
53.42230733,2014
46.07087074,2004
37.82486792,2009
61.38913606,2014
36.6558936,2014
68.30618585,2014
64.30295776,2014
43.38687684,2009
50.45667392,2009
56.73835981,1998
39.36695201,1996
54.17634866,1998
61.8631886,1999
68.24791967,1996
43.03655759,1996
40.69038433,1999
45.13617513,1996
56.4058518,1998
49.08345688,2009
69.66250365,1999
43.69596052,1996
42.4308499,1998
39.65555183,1999
50.25372566,1996
68.39267067,1999
54.3665003,2009
58.7107623,1999
62.49224005,1998
27.27533399,1996
56.59162598,1998
47.7809967,2004
39.8581472,2009
55.72695679,1996
62.96230133,1998
68.90174401,1999
53.98812514,1996
50.50531861,2004
59.33012768,2014
47.42038779,2009
49.06969705,2009
61.45382062,1999
40.22497332,1998
52.3314256,2014
43.67283789,1996
44.12471012,1996
39.77946182,2009
52.7213022,1999
46.66644223,2009
64.32651817,1996
49.76220098,1998
57.16969604,2014
54.35493589,1998
45.99455853,2009
56.44153301,1998
62.1210456,1999
60.84272414,2004
37.96139988,2009
56.93221325,1998
68.71991476,1999
47.47661961,1998
52.98696007,1999
43.35023564,1996
46.86883739,1999
48.32924789,1998
49.83352605,2014
62.85260632,1999
64.47803743,1999
59.57654906,1999
53.08751632,1998
59.84393496,1998
58.17578029,1998
55.45825494,2014
44.01716666,1999
54.32741841,2014
41.63037268,1998
52.58726144,1996
36.29852328,1996
61.27842644,1999
53.70506347,1998
49.57547939,2009
55.86772586,2014
51.85666606,2014
54.99057437,2014
40.88131331,1996
62.6880212,1999
61.87216572,1998
52.15102257,1996
62.98890326,2014
45.16046623,1999
46.81476876,1996
45.26379862,1996
70.49412675,1999
59.01504877,1998
48.15415262,2004
37.74306538,2009
44.09294235,1999
59.87539267,1998
34.9882832,1996
51.64226277,1996
49.46037038,1999
60.64997964,1999
56.2974821,2004
52.72658378,1996
44.77028581,2009
58.95811991,2014
47.32526019,1998
52.91886473,1998
61.74178029,2004
30.58928877,2009
51.58104042,1998
62.36735442,2004
38.25977315,2009
41.33714124,1996
47.13460876,2009
64.67820131,1998
41.57419811,2009
55.63336998,2004
59.30040964,1999
55.97490916,1996
61.07450926,2014
36.36518464,2004
59.10365009,2004
52.21086444,2009
37.51386822,1996
44.53921551,1996
49.43302715,1998
44.45241637,2004
45.97695548,2009
69.97881411,1998
59.35817689,1996
44.96144494,2004
54.32538404,1998
41.4309783,1996
54.85919817,2014
48.44865851,2014
49.36880475,1998
40.35336507,2009
67.92592417,1999
61.27791977,1998
40.89166669,2009
49.57594235,1996
61.21877512,2014
51.40943476,1996
50.59408966,2004
60.4041239,2004
26.3350825,1996
66.55543331,2004
44.5185914,2004
61.72119628,2009
71.32805708,2014
56.06927016,2004
64.14248634,2009
61.75939034,2009
59.93099815,1998
55.11021146,2009
58.39270742,2014
44.30654619,1999
42.64038708,2004
57.42658836,2014
50.87147093,2004
47.37979098,1996
54.84797163,2014
46.56769965,2009
58.5324946,1999
56.96713543,1998
61.7362948,2014
49.65299001,2004
47.80304626,2004
64.37935462,2014
58.07876651,2014
52.56526891,2014
55.75499215,2004
53.19909788,2004
40.71720952,2009
70.22995007,1999
50.75131178,1999
57.87882904,1998
49.28308165,1996
62.77820524,1999
49.59058244,2009
43.47707474,1996
49.11326398,1996
57.22599221,2004
46.90933109,1996
52.32173724,1998
68.46298516,2014
44.29689282,2009
45.60443702,2009
49.17727444,2009
65.42173575,2004
59.61375707,2004
55.62282435,2009
30.25021339,2004
66.98093434,1999
59.87248489,2014
43.86611639,2004
39.02830531,2009
64.87669688,1998
61.56929567,2014
69.27124892,1999
48.27087843,2004
44.88217555,2004
43.0353516,2004
60.90037972,2014
54.1901064,2009
56.41798374,1999
58.7663618,1999
61.848138,2004
52.69596857,2004
54.85617935,1996
50.84914662,1998
50.41734581,2009
66.16496238,1998
54.22758824,1996
40.19601024,2014
52.16671364,1999
61.08777098,1996
52.46221548,2004
58.51796156,1999
68.51442906,1999
56.01407657,2014
38.29413435,2009
36.01483799,1998
41.15150834,2009
50.89028164,1996
56.38169454,2009
60.8923398,1996
56.35691758,2004
