,StateName,stateabb,PCNAME,t_voters,t_electors,voters_turnout,log_electors,sex_ratio,f_voters_turnout,year
2292,Uttar Pradesh,UP,Gorakhpur,658471,1261260,52.2,14.05,781,47.6,1999
2293,Uttar Pradesh,UP,Bulandshahr,499074,1098334,45.4,13.91,851,35.1,1999
2294,Uttar Pradesh,UP,Mathura,1077656,1682260,64.1,14.34,805,61.0,2014
2295,Uttar Pradesh,UP,Balrampur,677854,1164886,58.2,13.97,823,54.6,1999
2296,Uttar Pradesh,UP,SHAHABAD,579606,1258003,46.1,14.05,791,34.5,2004
2297,Uttar Pradesh,UP,RAE BARELI,643560,1329169,48.4,14.1,890,44.1,2004
2298,Uttar Pradesh,UP,MOHANLALGANJ (SC),571848,1278376,44.7,14.06,852,36.2,2004
2299,Uttar Pradesh,UP,Amroha,706068,1173915,60.1,13.98,829,56.5,2009
2301,Uttar Pradesh,UP,Bhadohi,659192,1519449,43.4,14.23,833,42.7,2009
2302,Uttar Pradesh,UP,Saharanpur,778805,1261896,61.7,14.05,818,56.6,1999
2304,Uttar Pradesh,UP,Hardoi,972865,1714388,56.7,14.35,824,52.6,2014
2305,Uttar Pradesh,UP,JHANSI,819636,1526320,53.7,14.24,882,45.1,2004
2306,Uttar Pradesh,UP,Basti,593932,1181116,50.3,13.98,818,45.0,1999
2307,Uttar Pradesh,UP,Lalganj,898860,1661470,54.1,14.32,832,58.6,2014
2308,Uttar Pradesh,UP,Hamirpur,622575,1057352,58.9,13.87,814,52.7,1999
2310,Uttar Pradesh,UP,Etah,595040,1036859,57.4,13.85,819,41.5,1999
2311,Uttar Pradesh,UP,Budaun,610270,1108847,55.0,13.92,807,42.9,1999
2312,Uttar Pradesh,UP,Bareilly,663548,1133481,58.5,13.94,818,58.5,1999
2313,Uttar Pradesh,UP,Baghpat,613639,1280602,47.9,14.06,768,42.3,2009
2314,Uttar Pradesh,UP,GORAKHPUR,689217,1432002,48.1,14.17,861,46.8,2004
