,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,f_voters_turnout,m_voters_turnout,voters_turnout,log_electors,sex_ratio
1125,Kerala,KL,S11,1,Palakkad,587366,621360,1208726,444249.0,465167.0,909416,2014,182,,74.9,75.63410207604798,75.2,14.01,1058
1129,Kerala,KL,S11,1,Kollam,575296,644119,1219415,406898.0,469024.0,875922,2014,192,,72.8,70.72845978418066,71.8,14.01,1120
1131,Kerala,KL,S11,1,Kasaragod,595047,648683,1243730,459280.0,514333.0,973613,2014,175,,79.3,77.1838190932817,78.3,14.03,1090
1144,Kerala,KL,S11,1,Mavelikkara,592702,659966,1252668,416193.0,470987.0,887180,2014,190,,71.4,70.21960445552739,70.8,14.04,1113
1150,Kerala,KL,S11,1,Pathanamthitta,631495,692411,1323906,425887.0,444099.0,869986,2014,191,,64.1,67.44107237586996,65.7,14.1,1096
1156,Kerala,KL,S11,1,Alathur,591950,624401,1216351,452923.0,474384.0,927307,2014,183,,76.0,76.51372582143762,76.2,14.01,1055
1161,Kerala,KL,S11,1,Chalakudy,565083,585414,1150497,437197.0,446915.0,884112,2014,185,,76.3,77.36863434221168,76.8,13.96,1036
1164,Madhya Pradesh,MP,S12,1,DEWAS,843528,773563,1617111,653540.0,489442.0,1142982,2014,215,,63.3,77.47697764626663,70.7,14.3,917
1174,Madhya Pradesh,MP,S12,1,MANDSOUR,838141,788383,1626556,639978.0,520386.0,1160374,2014,217,,66.0,76.35684210651907,71.3,14.3,941
1175,Madhya Pradesh,MP,S12,1,GUNA,857327,748265,1605613,580802.0,394613.0,975415,2014,198,,52.7,67.74567930322969,60.8,14.29,873
1178,Madhya Pradesh,MP,S12,1,TIKAMGARH,820670,708167,1528863,466852.0,299542.0,766398,2014,200,,42.3,56.88669014341941,50.1,14.24,863
1181,Madhya Pradesh,MP,S12,1,REWA,821800,722919,1544719,457628.0,372259.0,829887,2014,204,,51.5,55.686055001216836,53.7,14.25,880
1184,Madhya Pradesh,MP,S12,1,DAMOH,882818,768760,1651614,558821.0,354514.0,913336,2014,201,,46.1,63.29968351347617,55.3,14.32,871
1190,Madhya Pradesh,MP,S12,1,RATLAM,860924,841625,1702576,569214.0,511452.0,1080666,2014,218,,60.8,66.11663747322643,63.5,14.35,978
1194,Madhya Pradesh,MP,S12,1,UJJAIN,790889,734560,1525481,571019.0,444831.0,1015857,2014,216,,60.6,72.19963863449864,66.6,14.24,929
1201,Madhya Pradesh,MP,S12,1,KHAJURAHO,907340,795472,1702833,517233.0,357041.0,874283,2014,202,,44.9,57.00542244362642,51.3,14.35,877
1204,Madhya Pradesh,MP,S12,1,SATNA,772234,686123,1458381,499873.0,413407.0,913280,2014,203,,60.3,64.73076813504714,62.6,14.19,888
1215,Madhya Pradesh,MP,S12,1,INDORE,1106595,1008635,2115303,736204.0,579670.0,1315896,2014,220,,57.5,66.52876617009836,62.2,14.56,911
1226,Madhya Pradesh,MP,S12,1,SIDHI,915799,820208,1736048,547499.0,441120.0,988619,2014,205,,53.8,59.78375167476706,56.9,14.37,896
1229,Madhya Pradesh,MP,S12,1,VIDISHA,872100,761915,1634039,619102.0,453345.0,1072447,2014,212,,59.5,70.98979474830868,65.6,14.31,874
1240,Madhya Pradesh,MP,S12,1,SHAHDOL,806746,754219,1561016,527809.0,440179.0,967988,2014,206,,58.4,65.424433464808,62.0,14.26,935
1243,Madhya Pradesh,MP,S12,1,SAGAR,815511,704754,1520322,536897.0,354866.0,891772,2014,199,,50.4,65.83565396420158,58.7,14.23,864
1244,Madhya Pradesh,MP,S12,1,GWALIOR,1023937,852908,1876965,594606.0,395609.0,990230,2014,197,,46.4,58.070564888269494,52.8,14.45,833
1250,Madhya Pradesh,MP,S12,1,JABALPUR,898045,813502,1711621,558905.0,443227.0,1002132,2014,207,,54.5,62.235745424783836,58.5,14.35,906
1251,Madhya Pradesh,MP,S12,1,DHAR,858093,810302,1668441,586698.0,489232.0,1075930,2014,219,,60.4,68.37230929514632,64.5,14.33,944
1252,Madhya Pradesh,MP,S12,1,BALAGHAT,822670,807049,1629741,570388.0,540968.0,1111356,2014,209,,67.0,69.33375472546707,68.2,14.3,981
1262,Madhya Pradesh,MP,S12,1,MANDLA,926166,898514,1824702,641219.0,575693.0,1216914,2014,208,,64.1,69.23370108598242,66.7,14.42,970
1283,Madhya Pradesh,MP,S12,1,CHHINDWARA,722052,679956,1402038,584697.0,522618.0,1107315,2014,210,,76.9,80.97713184092005,79.0,14.15,942
1285,Madhya Pradesh,MP,S12,1,MORENA,938787,763635,1702457,538721.0,315516.0,854238,2014,195,,41.3,57.384795486090034,50.2,14.35,813
1290,Madhya Pradesh,MP,S12,1,RAJGARH,827021,751717,1578757,597753.0,412196.0,1009952,2014,214,,54.8,72.27785026015059,64.0,14.27,909
1311,Madhya Pradesh,MP,S12,1,HOSHANGABAD,835566,732614,1568206,593375.0,436990.0,1030365,2014,211,,59.6,71.01473731578355,65.7,14.27,877
1326,Madhya Pradesh,MP,S12,1,BHOPAL,1039153,918021,1957241,639634.0,490428.0,1130069,2014,213,,53.4,61.55339973998054,57.7,14.49,883
1329,Madhya Pradesh,MP,S12,1,BETUL,836846,770954,1607831,573928.0,473282.0,1047231,2014,223,,61.4,68.58227200703594,65.1,14.29,921
1330,Madhya Pradesh,MP,S12,1,BHIND,892173,707938,1600137,469662.0,259501.0,729163,2014,196,,36.7,52.64248077446862,45.6,14.29,793
1331,Madhya Pradesh,MP,S12,1,KHANDWA,912764,846610,1759417,677300.0,578287.0,1255596,2014,222,,68.3,74.20318943341324,71.4,14.38,928
1332,Madhya Pradesh,MP,S12,1,KHARGONE,866905,836341,1703272,613926.0,537792.0,1151722,2014,221,,64.3,70.81814039600648,67.6,14.35,965
1363,Maharashtra,MH,S13,1,Madha,912715,814603,1727322,594868.0,483305.0,1078173,2014,266,,59.3,65.17565724240316,62.4,14.36,893
1368,Maharashtra,MH,S13,1,Solapur,893734,808990,1702739,526695.0,423356.0,950051,2014,265,,52.3,58.931964096699915,55.8,14.35,905
1376,Maharashtra,MH,S13,1,Nanded,878520,808528,1687057,548032.0,462233.0,1010265,2014,239,,57.2,62.38127760324181,59.9,14.34,920
1390,Maharashtra,MH,S13,1,Mumbai North West,986704,788712,1775416,504202.0,393043.0,897245,2014,250,,49.8,51.09962055489792,50.5,14.39,799
1397,Maharashtra,MH,S13,1,Nashik,850699,743058,1593774,523318.0,412087.0,935405,2014,244,,55.5,61.516235472241064,58.7,14.28,873
1399,Maharashtra,MH,S13,1,Baramati,960395,853153,1813553,602117.0,463496.0,1065613,2014,258,,54.3,62.69472456645443,58.8,14.41,888
1406,Maharashtra,MH,S13,1,Shirur,973132,850960,1824112,613290.0,475412.0,1088702,2014,259,,55.9,63.02228269135123,59.7,14.42,874
1407,Maharashtra,MH,S13,1,Pune,949561,886266,1835835,533792.0,459588.0,993382,2014,257,,51.9,56.2146086454688,54.1,14.42,933
1408,Maharashtra,MH,S13,1,Jalgaon,909058,798886,1707969,550503.0,439312.0,989821,2014,226,,55.0,60.557522182303,58.0,14.35,879
1413,Maharashtra,MH,S13,1,Jalna,866612,745444,1612056,595979.0,469547.0,1065526,2014,241,,63.0,68.77114556456638,66.1,14.29,860
1430,Maharashtra,MH,S13,1,Buldhana,844789,750643,1595435,535827.0,442565.0,978392,2014,228,,59.0,63.427317353800774,61.3,14.28,889
1445,Maharashtra,MH,S13,1,Parbhani,945901,857880,1803792,637677.0,523946.0,1161624,2014,240,,61.1,67.41477173615421,64.4,14.41,907
1459,Maharashtra,MH,S13,1,Nagpur,980485,920265,1900784,578754.0,504850.0,1083604,2014,233,,54.9,59.027318112974704,57.0,14.46,939
1460,Maharashtra,MH,S13,1,Mumbai North central,967468,769592,1737084,472010.0,372857.0,844867,2014,252,,48.4,48.788176973295236,48.6,14.37,795
1467,Maharashtra,MH,S13,1,Osmanabad,934227,824943,1759186,611537.0,505020.0,1116572,2014,263,,61.2,65.45914429790618,63.5,14.38,883
1475,Maharashtra,MH,S13,1,Hatkanangle,850721,779846,1630604,630470.0,556249.0,1186727,2014,271,,71.3,74.11007839232839,72.8,14.3,917
1481,Maharashtra,MH,S13,1,Amravati,848217,764503,1612739,554649.0,446414.0,1001063,2014,230,,58.4,65.38998864677316,62.1,14.29,901
1484,Maharashtra,MH,S13,1,Maval,1035961,917770,1953741,646904.0,527044.0,1173949,2014,256,,57.4,62.444821764525884,60.1,14.49,886
1487,Maharashtra,MH,S13,1,Akola,882014,790609,1672643,543956.0,433633.0,977589,2014,229,,54.8,61.67203695179442,58.4,14.33,896
1491,Maharashtra,MH,S13,1,Sangli,861582,787493,1649107,556695.0,486169.0,1042869,2014,267,,61.7,64.6131186584678,63.2,14.32,914
1494,Maharashtra,MH,S13,1,Ratnagiri - sindhudurg,665658,701697,1367362,444269.0,451748.0,896017,2014,269,,64.4,66.74132963173281,65.5,14.13,1054
1495,Maharashtra,MH,S13,1,Ahmadnagar,902928,802016,1705005,594749.0,465801.0,1060551,2014,260,,58.1,65.86892864104335,62.2,14.35,888
1496,Maharashtra,MH,S13,1,Mumbai South central,793802,654025,1447886,424310.0,343790.0,768130,2014,253,,52.6,53.45287615803437,53.1,14.19,824
1511,Maharashtra,MH,S13,1,Gadchiroli-Chimur,752751,715686,1468437,537674.0,489980.0,1027654,2014,235,,68.5,71.42786924228595,70.0,14.2,951
1520,Maharashtra,MH,S13,1,Ramtek,887228,790024,1677266,576271.0,473007.0,1049278,2014,232,,59.9,64.95185003178439,62.6,14.33,890
1524,Maharashtra,MH,S13,1,Palghar,830398,747673,1578149,531904.0,460337.0,992280,2014,245,,61.6,64.05410417655149,62.9,14.27,900
1529,Maharashtra,MH,S13,1,Latur,902170,784780,1686957,576599.0,477934.0,1054533,2014,264,,60.9,63.912455523903475,62.5,14.34,870
1540,Maharashtra,MH,S13,1,Kalyan,1044943,876995,1922034,472077.0,352517.0,824652,2014,247,,40.2,45.17729675207164,42.9,14.47,839
1546,Maharashtra,MH,S13,1,Yavatmal-Washim,921276,834010,1755292,564176.0,467163.0,1031339,2014,237,,56.0,61.23854306418489,58.8,14.38,905
1555,Maharashtra,MH,S13,1,Aurangabad,846011,743384,1589395,554458.0,428022.0,982480,2014,242,,57.6,65.53791853770224,61.8,14.28,879
1564,Maharashtra,MH,S13,1,Thane,1141737,931467,2073251,590956.0,462684.0,1053658,2014,248,,49.7,51.7593806629723,50.8,14.54,816
1573,Maharashtra,MH,S13,1,Wardha,817514,747024,1564552,553504.0,458674.0,1012178,2014,231,,61.4,67.70575182810325,64.7,14.26,914
1576,Maharashtra,MH,S13,1,Bhandara - gondiya,841257,814592,1655852,615597.0,580693.0,1196291,2014,234,,71.3,73.17585470314066,72.2,14.32,968
1577,Maharashtra,MH,S13,1,Dindori,808116,722062,1530208,546617.0,422882.0,969499,2014,243,,58.6,67.6409079884571,63.4,14.24,894
1580,Maharashtra,MH,S13,1,Bhiwandi,945521,751031,1696584,502705.0,372339.0,875044,2014,246,,49.6,53.16698412832713,51.6,14.34,794
1581,Maharashtra,MH,S13,1,Hingoli,839540,746644,1586194,575663.0,473420.0,1049085,2014,238,,63.4,68.56885913714653,66.1,14.28,889
1584,Maharashtra,MH,S13,1,Mumbai North,972753,811110,1783870,527247.0,418394.0,945642,2014,249,,51.6,54.201529062362184,53.0,14.39,834
1586,Maharashtra,MH,S13,1,Raigad,752491,780290,1532781,485550.0,502232.0,987782,2014,255,,64.4,64.52568867933304,64.4,14.24,1037
1588,Maharashtra,MH,S13,1,Dhule,879332,796027,1675367,540775.0,438455.0,979230,2014,225,,55.1,61.49838741226294,58.4,14.33,905
1593,Maharashtra,MH,S13,1,Mumbai North East,923016,745254,1668357,485677.0,375903.0,861638,2014,251,,50.4,52.618481153089434,51.6,14.33,807
1594,Maharashtra,MH,S13,1,Shirdi,768181,694085,1462267,519824.0,412130.0,931954,2014,261,,59.4,67.66946852369429,63.7,14.2,904
1595,Maharashtra,MH,S13,1,Beed,963569,829083,1792652,680369.0,551091.0,1231460,2014,262,,66.5,70.60926617606005,68.7,14.4,860
1596,Maharashtra,MH,S13,1,Nandurbar,852313,820622,1672943,583431.0,530953.0,1114384,2014,224,,64.7,68.45266938319608,66.6,14.33,963
1604,Maharashtra,MH,S13,1,Raver,842701,750674,1593389,555229.0,455617.0,1010846,2014,227,,60.7,65.88683293362652,63.4,14.28,891
1606,Maharashtra,MH,S13,1,Satara,883947,836051,1719998,519148.0,456561.0,975709,2014,268,,54.6,58.730670504000805,56.7,14.36,946
1608,Maharashtra,MH,S13,1,Kolhapur,909286,849002,1758293,663565.0,595421.0,1258986,2014,270,,70.1,72.97648924540793,71.6,14.38,934
1622,Maharashtra,MH,S13,1,Mumbai South,828962,656867,1485844,436292.0,342366.0,778666,2014,254,,52.1,52.631121812580076,52.4,14.21,792
1625,Maharashtra,MH,S13,1,Chandrapur,921095,832595,1753690,602269.0,506480.0,1108749,2014,236,,60.8,65.38619794918004,63.2,14.38,904
1659,Nagaland,NL,S17,2,Nagaland,600518,582454,1182972,528703.0,510521.0,1039224,2014,277,,87.7,88.04115780043229,87.8,13.98,970
1664,Odisha,OD,S18,1,Sundargarh,718689,691817,1410532,515013.0,493933.0,1008946,2014,279,,71.4,71.66006436720195,71.5,14.16,963
1675,Odisha,OD,S18,1,Balasore,709342,656857,1366218,531346.0,516773.0,1048119,2014,283,,78.7,74.90688553617296,76.7,14.13,926
1680,Odisha,OD,S18,1,Koraput,629268,671019,1300437,485037.0,504205.0,989243,2014,298,,75.1,77.07955910677168,76.1,14.08,1066
1688,Odisha,OD,S18,1,Nabarangpur,645875,651286,1297210,512473.0,509104.0,1021577,2014,289,,78.2,79.34553899748403,78.8,14.08,1008
1689,Odisha,OD,S18,1,Bhubaneswar ,835850,691665,1527768,485138.0,406314.0,891460,2014,295,,58.7,58.041275348447684,58.4,14.24,827
1710,Odisha,OD,S18,1,Bhadrak,774566,694893,1469498,537329.0,541995.0,1079324,2014,284,,78.0,69.37162230203752,73.4,14.2,897
1717,Odisha,OD,S18,1,Puri,742939,661592,1404581,568551.0,469388.0,1037939,2014,294,,70.9,76.52727882100685,73.9,14.16,891
1723,Odisha,OD,S18,1,Aska,750999,657756,1408780,449644.0,446046.0,895690,2014,296,,67.8,59.8727827866615,63.6,14.16,876
1729,Odisha,OD,S18,1,Kandhamal,582340,561228,1143602,422515.0,416406.0,838921,2014,290,,74.2,72.5546931345949,73.4,13.95,964
1734,Odisha,OD,S18,1,Berhampur,680089,654171,1334268,450468.0,454066.0,904534,2014,297,,69.4,66.23662491232764,67.8,14.1,962
1747,Odisha,OD,S18,1,Sambalpur,669036,627982,1297098,504240.0,476826.0,981068,2014,280,,75.9,75.36814162466594,75.6,14.08,939
1754,Odisha,OD,S18,1,Bargarh,751140,679485,1430717,595871.0,526985.0,1122864,2014,278,,77.6,79.3288867587933,78.5,14.17,905
1761,Odisha,OD,S18,1,Jagatsinghpur,797923,701680,1499673,587440.0,544083.0,1131526,2014,293,,77.5,73.62113888182193,75.5,14.22,879
1762,Odisha,OD,S18,1,Cuttack,731912,639680,1371617,522746.0,455864.0,978610,2014,291,,71.3,71.42197422640973,71.3,14.13,874
1763,Odisha,OD,S18,1,Kendrapara,828491,726929,1555444,577477.0,558439.0,1135916,2014,292,,76.8,69.70226592684773,73.0,14.26,877
1765,Odisha,OD,S18,1,Keonjhar,691369,655285,1346683,550293.0,532437.0,1082730,2014,281,,81.3,79.59468822003879,80.4,14.11,948
1767,Odisha,OD,S18,1,Kalahandi,750694,723392,1474135,576088.0,539704.0,1115803,2014,288,,74.6,76.74072258470163,75.7,14.2,964
1768,Odisha,OD,S18,1,Bolangir,814968,747976,1563025,605683.0,563394.0,1169117,2014,287,,75.3,74.3198505953608,74.8,14.26,918
1772,Odisha,OD,S18,1,Jajpur,696385,607337,1303733,522476.0,456676.0,979152,2014,285,,75.2,75.02688886176469,75.1,14.08,872
1773,Odisha,OD,S18,1,Mayurbhanj,670100,657438,1327555,522251.0,528655.0,1050906,2014,282,,80.4,77.9362781674377,79.2,14.1,981
1783,Odisha,OD,S18,1,Dhenkanal,722329,641088,1363471,551212.0,488983.0,1040200,2014,286,,76.3,76.31037934237723,76.3,14.13,888
1798,Punjab,PB,S19,1,Anandpur Sahib,817186,747512,1564721,554688.0,532346.0,1087034,2014,304,,71.2,67.87781484264292,69.5,14.26,915
1802,Punjab,PB,S19,1,Firozpur,808857,713236,1522111,590404.0,514569.0,1104973,2014,308,,72.1,72.9923830788384,72.6,14.24,882
1807,Punjab,PB,S19,1,Sangrur,758197,666535,1424743,583555.0,516181.0,1099736,2014,310,,77.4,76.96614468271439,77.2,14.17,879
1811,Punjab,PB,S19,1,Gurdaspur,784477,715839,1500337,532763.0,509586.0,1042349,2014,299,,71.2,67.913144681106,69.5,14.22,913
1813,Punjab,PB,S19,1,Fatehgarh Sahib,740390,656554,1396957,551095.0,479741.0,1030836,2014,306,,73.1,74.43306905819905,73.8,14.15,887
1823,Punjab,PB,S19,1,Ludhiana,835632,725551,1561201,601709.0,499984.0,1101693,2014,305,,68.9,72.0064573879411,70.6,14.26,868
1842,Punjab,PB,S19,1,Jalandhar,808530,742954,1551497,532265.0,508444.0,1040709,2014,302,,68.4,65.8311998317935,67.1,14.25,919
1850,Punjab,PB,S19,1,Bathinda,813119,712156,1525289,626895.0,549533.0,1176428,2014,309,,77.2,77.09757120421487,77.1,14.24,876
1852,Punjab,PB,S19,1,Khadoor Sahib,817134,746233,1563409,534962.0,505352.0,1040314,2014,301,,67.7,65.46808724150507,66.5,14.26,913
1854,Punjab,PB,S19,1,Amritsar,779164,698076,1477262,537622.0,469488.0,1007110,2014,300,,67.3,68.99985112248513,68.2,14.21,896
1859,Punjab,PB,S19,1,Faridkot,768206,686848,1455075,547017.0,484634.0,1031651,2014,307,,70.6,71.2070720614002,70.9,14.19,894
1861,Punjab,PB,S19,1,Hoshiarpur,762065,723207,1485286,473084.0,487516.0,960600,2014,303,,67.4,62.07921896426157,64.7,14.21,949
1864,Punjab,PB,S19,1,Patiala,834231,746037,1580273,593609.0,527264.0,1120873,2014,311,,70.7,71.15643029328808,70.9,14.27,894
1874,Rajasthan,RJ,S20,1,KARAULI-DHOLPUR,845548,703920,1549468,491202.0,353973.0,845175,2014,321,,50.3,58.09273985628255,54.5,14.25,833
1875,Rajasthan,RJ,S20,1,Chittorgarh,929217,890287,1819506,630617.0,539259.0,1169876,2014,332,,60.6,67.86541787332776,64.3,14.41,958
1879,Rajasthan,RJ,S20,1,Bhilwara,904045,850856,1754901,580533.0,521628.0,1102161,2014,334,,61.3,64.21505566647679,62.8,14.38,941
1880,Rajasthan,RJ,S20,1,Dausa,814648,709447,1524100,518917.0,409839.0,928756,2014,322,,57.8,63.69830896288949,60.9,14.24,871
1899,Rajasthan,RJ,S20,1,Ajmer,869322,813938,1683261,613187.0,540384.0,1153571,2014,324,,66.4,70.5362339846455,68.5,14.34,936
1902,Rajasthan,RJ,S20,1,Rajsamand,880398,820791,1701194,506425.0,471078.0,977503,2014,333,,57.4,57.522279696228296,57.5,14.35,932
1920,Rajasthan,RJ,S20,1,Jalore,964046,860922,1824968,581247.0,506374.0,1087621,2014,329,,58.8,60.29245492435008,59.6,14.42,893
1921,Rajasthan,RJ,S20,1,TONK-SAWAI MADHOPUR,910730,800045,1710775,583732.0,459375.0,1043107,2014,323,,57.4,64.09495679290241,61.0,14.35,878
1924,Rajasthan,RJ,S20,1,Churu,928059,825765,1753825,598297.0,529280.0,1127578,2014,314,,64.1,64.46756079085489,64.3,14.38,890
1934,Rajasthan,RJ,S20,1,Ganganagar,909749,808665,1718414,678212.0,573241.0,1251453,2014,312,,70.9,74.54935372284004,72.8,14.36,889
1955,Rajasthan,RJ,S20,1,Jaipur,1047469,910349,1957820,714851.0,578288.0,1293139,2014,318,,63.5,68.24555189700125,66.0,14.49,869
1957,Rajasthan,RJ,S20,1,Kota,913387,831152,1744539,632156.0,518136.0,1150292,2014,335,,62.3,69.2100938594484,65.9,14.37,910
1962,Rajasthan,RJ,S20,1,Jhunjhunu,894068,803402,1697470,521812.0,479727.0,1001539,2014,315,,59.7,58.36379335799962,59.0,14.34,899
1964,Rajasthan,RJ,S20,1,Pali,998413,903678,1902094,578674.0,512314.0,1090988,2014,326,,56.7,57.959381538501596,57.4,14.46,905
1966,Rajasthan,RJ,S20,1,Banswara,866441,831800,1698244,578240.0,590772.0,1169012,2014,331,,71.0,66.73737738634252,68.8,14.35,960
1967,Rajasthan,RJ,S20,1,Barmer,896867,783282,1680152,653991.0,562013.0,1216004,2014,328,,71.8,72.91950757470171,72.4,14.33,873
1977,Rajasthan,RJ,S20,1,Sikar,943691,826191,1769882,552960.0,507618.0,1060578,2014,316,,61.4,58.59545126529765,59.9,14.39,875
1979,Rajasthan,RJ,S20,1,JHALAWAR-BARAN,868979,800865,1669844,635617.0,510625.0,1146242,2014,336,,63.8,73.14526588099368,68.6,14.33,922
1981,Rajasthan,RJ,S20,1,Bikaner,847726,744629,1592355,526374.0,402281.0,928655,2014,313,,54.0,62.09246855705736,58.3,14.28,878
1988,Rajasthan,RJ,S20,1,Udaipur,930007,887933,1817940,599307.0,589859.0,1189166,2014,330,,66.4,64.44112786247845,65.4,14.41,955
2005,Rajasthan,RJ,S20,1,BHARATPUR,910990,779714,1690705,547046.0,413081.0,960127,2014,320,,53.0,60.049616351441834,56.8,14.34,856
2008,Rajasthan,RJ,S20,1,Jodhpur,910621,817170,1727791,596225.0,475258.0,1071483,2014,327,,58.2,65.47454978525643,62.0,14.36,897
2009,Rajasthan,RJ,S20,1,Alwar,870044,756398,1626442,585823.0,473846.0,1059669,2014,319,,62.6,67.33257168602968,65.2,14.3,869
2012,Rajasthan,RJ,S20,1,Nagaur,886728,791932,1678660,531452.0,469913.0,1001365,2014,325,,59.3,59.934049674759336,59.7,14.33,893
2013,Rajasthan,RJ,S20,1,Jaipur Rural,906858,793449,1700307,556476.0,452621.0,1009097,2014,317,,57.0,61.36307999708885,59.3,14.35,875
2022,Tamil Nadu,TN,S22,1,Thiruvallur,852794,849777,1702833,644387.0,609702.0,1254112,2014,338,,71.7,75.56185901870792,73.6,14.35,996
2023,Tamil Nadu,TN,S22,1,Madurai,717175,724206,1441434,483389.0,490525.0,973940,2014,369,,67.7,67.40181963955798,67.6,14.18,1010
2026,Tamil Nadu,TN,S22,1,Chidambaram ,686862,679307,1366190,530346.0,556097.0,1086444,2014,364,,81.9,77.21288992548722,79.5,14.13,989
2036,Tamil Nadu,TN,S22,1,Nilgiris,629707,639433,1269173,472256.0,458764.0,931024,2014,356,,71.7,74.99614900263138,73.4,14.05,1015
2049,Tamil Nadu,TN,S22,1,Pollachi,686943,694524,1381505,513435.0,496880.0,1010321,2014,358,,71.5,74.74200916233225,73.1,14.14,1011
2050,Tamil Nadu,TN,S22,1,Arakkonam,693100,708671,1401813,543169.0,543863.0,1087042,2014,344,,76.7,78.36805655749531,77.5,14.15,1022
2052,Tamil Nadu,TN,S22,1,Tirunelveli,705592,714823,1420435,468701.0,492310.0,961013,2014,375,,68.9,66.42663182122246,67.7,14.17,1013
2054,Tamil Nadu,TN,S22,1,Theni,720709,720492,1441302,528940.0,546154.0,1075107,2014,370,,75.8,73.39161853119637,74.6,14.18,1000
2055,Tamil Nadu,TN,S22,1,Sriperumbudur,982862,963377,1946503,665892.0,620230.0,1286127,2014,342,,64.4,67.75030472233131,66.1,14.48,980
2069,Tamil Nadu,TN,S22,1,Tiruppur,697730,677801,1375589,543168.0,505372.0,1048544,2014,355,,74.6,77.84787811904317,76.2,14.13,971
2072,Tamil Nadu,TN,S22,1,Nagapattinam ,606339,604280,1210626,452899.0,486855.0,939756,2014,366,,80.6,74.69402429993782,77.6,14.01,997
2077,Tamil Nadu,TN,S22,1,Thoothukkudi ,651207,659197,1310406,448396.0,466414.0,914811,2014,373,,70.8,68.8561394456755,69.8,14.09,1012
2080,Tamil Nadu,TN,S22,1,Coimbatore,869033,851127,1720221,608444.0,565861.0,1174312,2014,357,,66.5,70.01391201484869,68.3,14.36,979
2095,Tamil Nadu,TN,S22,1,Chennai North,707700,714428,1422392,463981.0,445554.0,909539,2014,339,,62.4,65.5618199802176,63.9,14.17,1010
2105,Tamil Nadu,TN,S22,1,Salem,759981,738253,1498350,593293.0,555869.0,1149174,2014,352,,75.3,78.06682009155492,76.7,14.22,971
2107,Tamil Nadu,TN,S22,1,Ramanathapuram,731526,724382,1455988,465142.0,534167.0,999323,2014,372,,73.7,63.58516307007543,68.6,14.19,990
2113,Tamil Nadu,TN,S22,1,Karur,641693,656598,1298322,510504.0,533334.0,1043857,2014,360,,81.2,79.55580004768635,80.4,14.08,1023
2115,Tamil Nadu,TN,S22,1,Tiruchirappalli,689228,697829,1387140,490711.0,494904.0,985655,2014,361,,70.9,71.1971945422995,71.1,14.14,1012
2121,Tamil Nadu,TN,S22,1,Perambalur,634391,651159,1285576,498647.0,528957.0,1027622,2014,362,,81.2,78.60247071600953,79.9,14.07,1026
2125,Tamil Nadu,TN,S22,1,Thanjavur,662571,677465,1340050,480904.0,528697.0,1009604,2014,367,,78.0,72.58150447272821,75.3,14.11,1022
2130,Tamil Nadu,TN,S22,1,Viluppuram,694932,691942,1387007,535359.0,528788.0,1064158,2014,350,,76.4,77.03760943516775,76.7,14.14,996
2135,Tamil Nadu,TN,S22,1,Namakkal,661113,668368,1329552,532212.0,526436.0,1058676,2014,353,,78.8,80.502425455255,79.6,14.1,1011
2144,Tamil Nadu,TN,S22,1,Tenkasi,688958,693084,1382081,489624.0,525986.0,1015613,2014,374,,75.9,71.06732195576508,73.5,14.14,1006
2153,Tamil Nadu,TN,S22,1,Krishnagiri,705468,674363,1379957,546295.0,522804.0,1069117,2014,346,,77.5,77.43724733084989,77.5,14.14,956
2160,Tamil Nadu,TN,S22,1,Cuddalore,625652,622218,1247908,485201.0,497002.0,982208,2014,363,,79.9,77.55125852710452,78.7,14.04,995
2165,Tamil Nadu,TN,S22,1,Sivaganga,704489,707884,1412373,474734.0,551559.0,1026293,2014,368,,77.9,67.38699965506913,72.7,14.16,1005
2166,Tamil Nadu,TN,S22,1,Kanniyakumari,743378,724348,1467796,488828.0,501284.0,990114,2014,376,,69.2,65.75766299244799,67.5,14.2,974
2171,Tamil Nadu,TN,S22,1,Tiruvannamalai,675321,677622,1352966,527265.0,536809.0,1064076,2014,348,,79.2,78.07620376087816,78.6,14.12,1003
2196,Tamil Nadu,TN,S22,1,Chennai South,901211,894252,1795776,556403.0,527433.0,1083847,2014,340,,59.0,61.73948165302021,60.4,14.4,992
2199,Tamil Nadu,TN,S22,1,Kallakurichi,707219,705147,1412499,541221.0,562429.0,1103662,2014,351,,79.8,76.52806273587107,78.1,14.16,997
2201,Tamil Nadu,TN,S22,1,Erode,656661,664670,1321399,510564.0,495852.0,1006429,2014,354,,74.6,77.7515338964854,76.2,14.09,1012
2214,Tamil Nadu,TN,S22,1,Chennai central,665282,662504,1328038,421903.0,392161.0,814079,2014,341,,59.2,63.41716745680779,61.3,14.1,996
2221,Tamil Nadu,TN,S22,1,Mayiladuthurai,679940,670377,1350318,503104.0,520845.0,1023950,2014,365,,77.7,73.99241109509663,75.8,14.12,986
2224,Tamil Nadu,TN,S22,1,Arani,683921,685715,1369668,546222.0,546279.0,1092502,2014,349,,79.7,79.86624186126761,79.8,14.13,1003
2227,Tamil Nadu,TN,S22,1,Kancheepuram,736993,742956,1480123,572957.0,554099.0,1127056,2014,343,,74.6,77.74252944057814,76.1,14.21,1008
2236,Tamil Nadu,TN,S22,1,Virudhunagar ,669589,680818,1350495,496203.0,512880.0,1009119,2014,371,,75.3,74.10560806703815,74.7,14.12,1017
