,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,f_voters_turnout,m_voters_turnout,voters_turnout,log_electors,sex_ratio
490,Bihar,BH,S04,1,Saran,832441,706266,1538740,450511.0,411954.0,862465,2014,78,,58.3,54.119270915296106,56.1,14.25,848
492,Bihar,BH,S04,1,Muzaffarpur,830943,720390,1551363,490949.0,457916.0,948865,2014,73,,63.6,59.08335469460601,61.2,14.25,867
493,Bihar,BH,S04,1,Darbhanga,797254,698177,1495445,407516.0,421741.0,829257,2014,72,,60.4,51.11495207299054,55.5,14.22,876
498,Bihar,BH,S04,1,Madhubani,878017,749809,1627832,413708.0,446640.0,860348,2014,64,,59.6,47.11844987056059,52.9,14.3,854
499,Bihar,BH,S04,1,Maharajganj,874822,767218,1642068,420232.0,426095.0,846327,2014,77,,55.5,48.03628623880058,51.5,14.31,877
500,Bihar,BH,S04,1,Jhanjharpur,895570,772835,1668405,450499.0,490640.0,941139,2014,65,,63.5,50.30304722132273,56.4,14.33,863
512,Bihar,BH,S04,1,Gaya (SC),799210,702311,1501521,442912.0,364010.0,806922,2014,96,,51.8,55.418725991917015,53.7,14.22,879
513,Bihar,BH,S04,1,Aurangabad,825574,710533,1536153,429944.0,355719.0,785663,2014,95,,50.1,52.078190446889074,51.1,14.24,861
514,Bihar,BH,S04,1,Khagaria,800786,705750,1506587,445941.0,450160.0,896101,2014,83,,63.8,55.68791162682665,59.5,14.23,881
515,Bihar,BH,S04,1,Patna Sahib,1052278,893885,1946249,510480.0,369747.0,880227,2014,88,,41.4,48.511895145579395,45.2,14.48,849
516,Bihar,BH,S04,1,Jahanabad,751585,671629,1423246,445501.0,365502.0,811003,2014,94,,54.4,59.274865783643904,57.0,14.17,894
522,Bihar,BH,S04,1,Katihar,769044,677392,1446478,495600.0,481934.0,977534,2014,69,,71.1,64.44364691747157,67.6,14.18,881
525,Bihar,BH,S04,1,Banka,824924,724490,1549456,461297.0,438021.0,899318,2014,85,,60.5,55.91993929137714,58.0,14.25,878
531,Bihar,BH,S04,1,Valmiki Nagar ,786312,670236,1456598,484433.0,415396.0,899838,2014,59,,62.0,61.608242020978956,61.8,14.19,852
532,Bihar,BH,S04,1,Paschim Champaran,769411,643703,1413148,469048.0,385593.0,854641,2014,60,,59.9,60.96195661356544,60.5,14.16,837
533,Bihar,BH,S04,1,Vaishali,841773,724500,1566321,480759.0,445167.0,925926,2014,74,,61.4,57.11266576618637,59.1,14.26,861
535,Bihar,BH,S04,1,Samastipur (SC),802420,702007,1504451,430782.0,432401.0,863183,2014,81,,61.6,53.68535181077241,57.4,14.22,875
536,Bihar,BH,S04,1,Bhagalpur,895185,790098,1685339,522417.0,451535.0,973953,2014,84,,57.1,58.358551584309396,57.8,14.34,883
539,Bihar,BH,S04,1,Sitamarhi,832370,742498,1574914,448849.0,451628.0,900477,2014,63,,60.8,53.924216394151635,57.2,14.27,892
548,Bihar,BH,S04,1,Buxar,877699,762929,1640671,494435.0,394512.0,888947,2014,91,,51.7,56.333093691573076,54.2,14.31,869
557,Bihar,BH,S04,1,Sasaram (SC) ,859397,748291,1607747,448672.0,397016.0,845688,2014,92,,53.1,52.2077689356607,52.6,14.29,871
567,Bihar,BH,S04,1,Nawada,897821,797019,1694895,478247.0,406136.0,884383,2014,97,,51.0,53.267522145282854,52.2,14.34,888
568,Bihar,BH,S04,1,Purnia,826834,755758,1582626,511262.0,506106.0,1017368,2014,70,,67.0,61.833693341105956,64.3,14.27,914
572,Bihar,BH,S04,1,Hajipur (SC),895047,754452,1649547,478157.0,425876.0,904033,2014,79,,56.4,53.42255769808736,54.8,14.32,843
581,Bihar,BH,S04,1,Supaul,797373,728185,1525583,468476.0,502044.0,970520,2014,66,,68.9,58.75242828638542,63.6,14.24,913
606,Gujarat,GJ,S06,1,Sabarkantha,833521,782318,1615840,583583.0,502387.0,1085970,2014,105,,64.2,70.01419280378059,67.2,14.3,939
613,Gujarat,GJ,S06,1,Surendranagar,877745,778910,1656657,539246.0,399328.0,938575,2014,109,,51.3,61.43538271365829,56.7,14.32,887
622,Gujarat,GJ,S06,1,Surat,803829,680212,1484068,538576.0,407928.0,946507,2014,124,,60.0,67.00131495629046,63.8,14.21,846
629,Gujarat,GJ,S06,1,Amreli,777662,708624,1486286,455668.0,349837.0,805505,2014,114,,49.4,58.59460794021053,54.2,14.21,911
637,Gujarat,GJ,S06,1,Panchmahal,820230,756434,1576667,512435.0,414555.0,926990,2014,118,,54.8,62.474549821391555,58.8,14.27,922
