,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation
157,Andhra Pradesh,AP,S01,1,Vijayawada,781179,783169,1564513,599506.0,589998.0,1189514,2014,29,,0
159,Andhra Pradesh,AP,S01,1,Warangal,771760,765862,1537778,590443.0,580206.0,1170723,2014,15,,0
176,Andhra Pradesh,AP,S01,1,Mahabubabad,688341,698868,1387288,560443.0,560406.0,1120853,2014,16,,1
180,Andhra Pradesh,AP,S01,1,Nalgonda,746042,748256,1494343,597237.0,583448.0,1180687,2014,13,,1
186,Andhra Pradesh,AP,S01,1,CHELVELLA,1153061,1031897,2185164,695012.0,617108.0,1312120,2014,10,,0
190,Andhra Pradesh,AP,S01,1,Hyderabad,960480,862516,1823217,525811.0,445415.0,971226,2014,9,,0
191,Andhra Pradesh,AP,S01,1,Hindupur,734674,711755,1446496,598591.0,572192.0,1170783,2014,37,,1
200,Andhra Pradesh,AP,S01,1,Malkajgiri,1723261,1459417,3183083,877156.0,741285.0,1618441,2014,7,,0
202,Andhra Pradesh,AP,S01,1,Nizamabad,724523,771586,1496193,467172.0,559329.0,1026505,2014,4,,1
204,Andhra Pradesh,AP,S01,1,Kadapa,764947,785380,1550440,583320.0,606195.0,1189516,2014,38,,0
212,Andhra Pradesh,AP,S01,1,Eluru,706952,720738,1427764,600526.0,594189.0,1194720,2014,27,,1
225,Andhra Pradesh,AP,S01,1,Amalapuram,682606,675208,1357865,565013.0,548900.0,1113914,2014,24,,1
227,Andhra Pradesh,AP,S01,1,Anantapur,775506,761243,1536894,612936.0,592912.0,1205849,2014,36,,0
245,Andhra Pradesh,AP,S01,1,Machilipatnam,675783,693423,1369311,564406.0,569695.0,1134104,2014,28,,1
247,Andhra Pradesh,AP,S01,1,Rajampet,735613,752029,1487791,570991.0,582836.0,1153835,2014,41,,1
258,Arunachal Pradesh,AR,S02,2,ARUNACHAL WEST,219415,227225,446640,155623.0,170663.0,326286,2014,43,,1
260,Arunachal Pradesh,AR,S02,2,ARUNACHAL EAST,160151,152553,312704,126888.0,128574.0,255462,2014,44,,1
291,Assam,AS,S03,1,Kaliabor,752695,704524,1457219,605354.0,561208.0,1166562,2014,55,,1
292,Assam,AS,S03,1,Kokrajhar,776151,729307,1505472,636473.0,587031.0,1223504,2014,49,,1
300,Assam,AS,S03,1,Barpeta,755566,674622,1430188,634466.0,571414.0,1205880,2014,50,,1
301,Assam,AS,S03,1,Tezpur,654866,604702,1259568,505481.0,475043.0,980524,2014,53,,1
314,Assam,AS,S03,1,Jorhat,611283,578203,1189486,483784.0,447088.0,930872,2014,56,,1
316,Assam,AS,S03,1,Silchar,554540,505558,1060175,428972.0,370918.0,799890,2014,46,,1
319,Assam,AS,S03,1,Lakhimpur,735340,695740,1431080,572467.0,539555.0,1112022,2014,58,,1
327,Assam,AS,S03,1,Dhubri,797235,752931,1550166,709038.0,660085.0,1369123,2014,48,,0
333,Assam,AS,S03,1,Autonomous District,359058,343172,702230,279451.0,263869.0,543320,2014,47,,1
334,Assam,AS,S03,1,Gauhati,988067,934203,1922270,784535.0,727081.0,1511616,2014,51,,0
335,Assam,AS,S03,1,Nowgong,792425,731446,1523881,639499.0,590545.0,1230044,2014,54,,1
336,Assam,AS,S03,1,Mangaldoi,791539,724137,1515676,651247.0,581802.0,1233049,2014,52,,1
339,Assam,AS,S03,1,Dibrugarh,579658,544647,1124305,462187.0,428637.0,890824,2014,57,,1
342,Assam,AS,S03,1,Karimganj,615198,550799,1165997,481673.0,404641.0,886314,2014,45,,1
351,Bihar,BH,S04,1,Munger,937897,782040,1719984,505931.0,408329.0,914268,2014,86,,0
361,Bihar,BH,S04,1,Karakat,849474,730224,1580558,457406.0,332394.0,789800,2014,93,,0
385,Bihar,BH,S04,1,Purvi Champaran,779657,659560,1439253,442071.0,380577.0,822648,2014,61,,1
391,Bihar,BH,S04,1,Madhepura,899152,826507,1725693,508782.0,525869.0,1034651,2014,71,,0
394,Bihar,BH,S04,1,Araria,843076,744212,1587332,492513.0,483291.0,975804,2014,67,,0
395,Bihar,BH,S04,1,Siwan,841735,722100,1563860,443827.0,440178.0,884005,2014,76,,0
403,Bihar,BH,S04,1,Arrah,1016299,808210,1824515,517499.0,375555.0,893054,2014,90,,0
407,Bihar,BH,S04,1,Ujiarpur,764186,662004,1426217,433858.0,425047.0,858905,2014,80,,1
431,Bihar,BH,S04,1,Gopalganj (SC),871590,783212,1654838,444922.0,458639.0,903561,2014,75,,0
433,Bihar,BH,S04,1,Jamui (SC),828406,722499,1550936,415589.0,360008.0,775597,2014,98,,0
436,Bihar,BH,S04,1,Begusarai,949825,828874,1778759,545214.0,532151.0,1077365,2014,82,,0
437,Bihar,BH,S04,1,Sheohar,792374,693355,1485801,433327.0,409336.0,842663,2014,62,,1
453,Bihar,BH,S04,1,Pataliputra,934086,801923,1736074,553018.0,423797.0,976815,2014,89,,0
