,StateName,stateabb,ST_CODE,bigstate,PCNAME,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,n,L,Representation
1520,Maharashtra,MH,S13,1,Ramtek,887228,790024,1677266,576271.0,473007.0,1049278,2014,232,,0
1524,Maharashtra,MH,S13,1,Palghar,830398,747673,1578149,531904.0,460337.0,992280,2014,245,,0
1529,Maharashtra,MH,S13,1,Latur,902170,784780,1686957,576599.0,477934.0,1054533,2014,264,,0
1540,Maharashtra,MH,S13,1,Kalyan,1044943,876995,1922034,472077.0,352517.0,824652,2014,247,,0
1546,Maharashtra,MH,S13,1,Yavatmal-Washim,921276,834010,1755292,564176.0,467163.0,1031339,2014,237,,0
1555,Maharashtra,MH,S13,1,Aurangabad,846011,743384,1589395,554458.0,428022.0,982480,2014,242,,0
1564,Maharashtra,MH,S13,1,Thane,1141737,931467,2073251,590956.0,462684.0,1053658,2014,248,,0
1573,Maharashtra,MH,S13,1,Wardha,817514,747024,1564552,553504.0,458674.0,1012178,2014,231,,0
1576,Maharashtra,MH,S13,1,Bhandara - gondiya,841257,814592,1655852,615597.0,580693.0,1196291,2014,234,,0
1577,Maharashtra,MH,S13,1,Dindori,808116,722062,1530208,546617.0,422882.0,969499,2014,243,,1
1580,Maharashtra,MH,S13,1,Bhiwandi,945521,751031,1696584,502705.0,372339.0,875044,2014,246,,0
1581,Maharashtra,MH,S13,1,Hingoli,839540,746644,1586194,575663.0,473420.0,1049085,2014,238,,0
1584,Maharashtra,MH,S13,1,Mumbai North,972753,811110,1783870,527247.0,418394.0,945642,2014,249,,0
1586,Maharashtra,MH,S13,1,Raigad,752491,780290,1532781,485550.0,502232.0,987782,2014,255,,1
1588,Maharashtra,MH,S13,1,Dhule,879332,796027,1675367,540775.0,438455.0,979230,2014,225,,0
1593,Maharashtra,MH,S13,1,Mumbai North East,923016,745254,1668357,485677.0,375903.0,861638,2014,251,,0
1594,Maharashtra,MH,S13,1,Shirdi,768181,694085,1462267,519824.0,412130.0,931954,2014,261,,1
1595,Maharashtra,MH,S13,1,Beed,963569,829083,1792652,680369.0,551091.0,1231460,2014,262,,0
1596,Maharashtra,MH,S13,1,Nandurbar,852313,820622,1672943,583431.0,530953.0,1114384,2014,224,,0
1604,Maharashtra,MH,S13,1,Raver,842701,750674,1593389,555229.0,455617.0,1010846,2014,227,,0
1606,Maharashtra,MH,S13,1,Satara,883947,836051,1719998,519148.0,456561.0,975709,2014,268,,0
1608,Maharashtra,MH,S13,1,Kolhapur,909286,849002,1758293,663565.0,595421.0,1258986,2014,270,,0
1622,Maharashtra,MH,S13,1,Mumbai South,828962,656867,1485844,436292.0,342366.0,778666,2014,254,,1
1625,Maharashtra,MH,S13,1,Chandrapur,921095,832595,1753690,602269.0,506480.0,1108749,2014,236,,0
1627,Manipur,MN,S14,2,Inner manipur ,417103,438257,855360,307043.0,334205.0,641248,2014,272,,1
1634,Manipur,MN,S14,2,Outer manipur,454314,464695,919009,379493.0,393746.0,773239,2014,273,,1
1647,Meghalaya,ML,S15,2,Tura,297230,289271,586501,232357.0,225763.0,458120,2014,275,,1
1649,Meghalaya,ML,S15,2,Shillong,480409,500331,980740,292971.0,326895.0,619866,2014,274,,1
1654,Mizoram,MZ,S16,2,MIZORAM,346219,355951,702170,212673.0,213477.0,426150,2014,276,,1
1659,Nagaland,NL,S17,2,Nagaland,600518,582454,1182972,528703.0,510521.0,1039224,2014,277,,1
1664,Odisha,OD,S18,1,Sundargarh,718689,691817,1410532,515013.0,493933.0,1008946,2014,279,,1
1675,Odisha,OD,S18,1,Balasore,709342,656857,1366218,531346.0,516773.0,1048119,2014,283,,1
1680,Odisha,OD,S18,1,Koraput,629268,671019,1300437,485037.0,504205.0,989243,2014,298,,1
1688,Odisha,OD,S18,1,Nabarangpur,645875,651286,1297210,512473.0,509104.0,1021577,2014,289,,1
1689,Odisha,OD,S18,1,Bhubaneswar ,835850,691665,1527768,485138.0,406314.0,891460,2014,295,,1
1710,Odisha,OD,S18,1,Bhadrak,774566,694893,1469498,537329.0,541995.0,1079324,2014,284,,1
1717,Odisha,OD,S18,1,Puri,742939,661592,1404581,568551.0,469388.0,1037939,2014,294,,1
1723,Odisha,OD,S18,1,Aska,750999,657756,1408780,449644.0,446046.0,895690,2014,296,,1
1729,Odisha,OD,S18,1,Kandhamal,582340,561228,1143602,422515.0,416406.0,838921,2014,290,,1
1734,Odisha,OD,S18,1,Berhampur,680089,654171,1334268,450468.0,454066.0,904534,2014,297,,1
1747,Odisha,OD,S18,1,Sambalpur,669036,627982,1297098,504240.0,476826.0,981068,2014,280,,1
1754,Odisha,OD,S18,1,Bargarh,751140,679485,1430717,595871.0,526985.0,1122864,2014,278,,1
1761,Odisha,OD,S18,1,Jagatsinghpur,797923,701680,1499673,587440.0,544083.0,1131526,2014,293,,1
1762,Odisha,OD,S18,1,Cuttack,731912,639680,1371617,522746.0,455864.0,978610,2014,291,,1
1763,Odisha,OD,S18,1,Kendrapara,828491,726929,1555444,577477.0,558439.0,1135916,2014,292,,0
1765,Odisha,OD,S18,1,Keonjhar,691369,655285,1346683,550293.0,532437.0,1082730,2014,281,,1
1767,Odisha,OD,S18,1,Kalahandi,750694,723392,1474135,576088.0,539704.0,1115803,2014,288,,1
1768,Odisha,OD,S18,1,Bolangir,814968,747976,1563025,605683.0,563394.0,1169117,2014,287,,0
1772,Odisha,OD,S18,1,Jajpur,696385,607337,1303733,522476.0,456676.0,979152,2014,285,,1
1773,Odisha,OD,S18,1,Mayurbhanj,670100,657438,1327555,522251.0,528655.0,1050906,2014,282,,1
1783,Odisha,OD,S18,1,Dhenkanal,722329,641088,1363471,551212.0,488983.0,1040200,2014,286,,1
1798,Punjab,PB,S19,1,Anandpur Sahib,817186,747512,1564721,554688.0,532346.0,1087034,2014,304,,0
1802,Punjab,PB,S19,1,Firozpur,808857,713236,1522111,590404.0,514569.0,1104973,2014,308,,1
1807,Punjab,PB,S19,1,Sangrur,758197,666535,1424743,583555.0,516181.0,1099736,2014,310,,1
1811,Punjab,PB,S19,1,Gurdaspur,784477,715839,1500337,532763.0,509586.0,1042349,2014,299,,1
1813,Punjab,PB,S19,1,Fatehgarh Sahib,740390,656554,1396957,551095.0,479741.0,1030836,2014,306,,1
1823,Punjab,PB,S19,1,Ludhiana,835632,725551,1561201,601709.0,499984.0,1101693,2014,305,,0
1842,Punjab,PB,S19,1,Jalandhar,808530,742954,1551497,532265.0,508444.0,1040709,2014,302,,0
1850,Punjab,PB,S19,1,Bathinda,813119,712156,1525289,626895.0,549533.0,1176428,2014,309,,1
1852,Punjab,PB,S19,1,Khadoor Sahib,817134,746233,1563409,534962.0,505352.0,1040314,2014,301,,0
1854,Punjab,PB,S19,1,Amritsar,779164,698076,1477262,537622.0,469488.0,1007110,2014,300,,1
1859,Punjab,PB,S19,1,Faridkot,768206,686848,1455075,547017.0,484634.0,1031651,2014,307,,1
1861,Punjab,PB,S19,1,Hoshiarpur,762065,723207,1485286,473084.0,487516.0,960600,2014,303,,1
1864,Punjab,PB,S19,1,Patiala,834231,746037,1580273,593609.0,527264.0,1120873,2014,311,,0
1874,Rajasthan,RJ,S20,1,KARAULI-DHOLPUR,845548,703920,1549468,491202.0,353973.0,845175,2014,321,,0
1875,Rajasthan,RJ,S20,1,Chittorgarh,929217,890287,1819506,630617.0,539259.0,1169876,2014,332,,0
1879,Rajasthan,RJ,S20,1,Bhilwara,904045,850856,1754901,580533.0,521628.0,1102161,2014,334,,0
1880,Rajasthan,RJ,S20,1,Dausa,814648,709447,1524100,518917.0,409839.0,928756,2014,322,,1
1899,Rajasthan,RJ,S20,1,Ajmer,869322,813938,1683261,613187.0,540384.0,1153571,2014,324,,0
1902,Rajasthan,RJ,S20,1,Rajsamand,880398,820791,1701194,506425.0,471078.0,977503,2014,333,,0
1920,Rajasthan,RJ,S20,1,Jalore,964046,860922,1824968,581247.0,506374.0,1087621,2014,329,,0
1921,Rajasthan,RJ,S20,1,TONK-SAWAI MADHOPUR,910730,800045,1710775,583732.0,459375.0,1043107,2014,323,,0
1924,Rajasthan,RJ,S20,1,Churu,928059,825765,1753825,598297.0,529280.0,1127578,2014,314,,0
1934,Rajasthan,RJ,S20,1,Ganganagar,909749,808665,1718414,678212.0,573241.0,1251453,2014,312,,0
1955,Rajasthan,RJ,S20,1,Jaipur,1047469,910349,1957820,714851.0,578288.0,1293139,2014,318,,0
1957,Rajasthan,RJ,S20,1,Kota,913387,831152,1744539,632156.0,518136.0,1150292,2014,335,,0
1962,Rajasthan,RJ,S20,1,Jhunjhunu,894068,803402,1697470,521812.0,479727.0,1001539,2014,315,,0
1964,Rajasthan,RJ,S20,1,Pali,998413,903678,1902094,578674.0,512314.0,1090988,2014,326,,0
1966,Rajasthan,RJ,S20,1,Banswara,866441,831800,1698244,578240.0,590772.0,1169012,2014,331,,0
1967,Rajasthan,RJ,S20,1,Barmer,896867,783282,1680152,653991.0,562013.0,1216004,2014,328,,0
1977,Rajasthan,RJ,S20,1,Sikar,943691,826191,1769882,552960.0,507618.0,1060578,2014,316,,0
1979,Rajasthan,RJ,S20,1,JHALAWAR-BARAN,868979,800865,1669844,635617.0,510625.0,1146242,2014,336,,0
1981,Rajasthan,RJ,S20,1,Bikaner,847726,744629,1592355,526374.0,402281.0,928655,2014,313,,0
1988,Rajasthan,RJ,S20,1,Udaipur,930007,887933,1817940,599307.0,589859.0,1189166,2014,330,,0
2005,Rajasthan,RJ,S20,1,BHARATPUR,910990,779714,1690705,547046.0,413081.0,960127,2014,320,,0
2008,Rajasthan,RJ,S20,1,Jodhpur,910621,817170,1727791,596225.0,475258.0,1071483,2014,327,,0
2009,Rajasthan,RJ,S20,1,Alwar,870044,756398,1626442,585823.0,473846.0,1059669,2014,319,,0
2012,Rajasthan,RJ,S20,1,Nagaur,886728,791932,1678660,531452.0,469913.0,1001365,2014,325,,0
2013,Rajasthan,RJ,S20,1,Jaipur Rural,906858,793449,1700307,556476.0,452621.0,1009097,2014,317,,0
2018,Sikkim,SK,S21,2,Sikkim,191017,179753,370770,153370.0,146197.0,299567,2014,337,,1
2022,Tamil Nadu,TN,S22,1,Thiruvallur,852794,849777,1702833,644387.0,609702.0,1254112,2014,338,,0
2023,Tamil Nadu,TN,S22,1,Madurai,717175,724206,1441434,483389.0,490525.0,973940,2014,369,,1
2026,Tamil Nadu,TN,S22,1,Chidambaram ,686862,679307,1366190,530346.0,556097.0,1086444,2014,364,,1
2036,Tamil Nadu,TN,S22,1,Nilgiris,629707,639433,1269173,472256.0,458764.0,931024,2014,356,,1
2049,Tamil Nadu,TN,S22,1,Pollachi,686943,694524,1381505,513435.0,496880.0,1010321,2014,358,,1
2050,Tamil Nadu,TN,S22,1,Arakkonam,693100,708671,1401813,543169.0,543863.0,1087042,2014,344,,1
2052,Tamil Nadu,TN,S22,1,Tirunelveli,705592,714823,1420435,468701.0,492310.0,961013,2014,375,,1
2054,Tamil Nadu,TN,S22,1,Theni,720709,720492,1441302,528940.0,546154.0,1075107,2014,370,,1
2055,Tamil Nadu,TN,S22,1,Sriperumbudur,982862,963377,1946503,665892.0,620230.0,1286127,2014,342,,0
2069,Tamil Nadu,TN,S22,1,Tiruppur,697730,677801,1375589,543168.0,505372.0,1048544,2014,355,,1
2072,Tamil Nadu,TN,S22,1,Nagapattinam ,606339,604280,1210626,452899.0,486855.0,939756,2014,366,,1
2077,Tamil Nadu,TN,S22,1,Thoothukkudi ,651207,659197,1310406,448396.0,466414.0,914811,2014,373,,1
2080,Tamil Nadu,TN,S22,1,Coimbatore,869033,851127,1720221,608444.0,565861.0,1174312,2014,357,,0
2095,Tamil Nadu,TN,S22,1,Chennai North,707700,714428,1422392,463981.0,445554.0,909539,2014,339,,1
2105,Tamil Nadu,TN,S22,1,Salem,759981,738253,1498350,593293.0,555869.0,1149174,2014,352,,1
2107,Tamil Nadu,TN,S22,1,Ramanathapuram,731526,724382,1455988,465142.0,534167.0,999323,2014,372,,1
2113,Tamil Nadu,TN,S22,1,Karur,641693,656598,1298322,510504.0,533334.0,1043857,2014,360,,1
2115,Tamil Nadu,TN,S22,1,Tiruchirappalli,689228,697829,1387140,490711.0,494904.0,985655,2014,361,,1
2121,Tamil Nadu,TN,S22,1,Perambalur,634391,651159,1285576,498647.0,528957.0,1027622,2014,362,,1
2125,Tamil Nadu,TN,S22,1,Thanjavur,662571,677465,1340050,480904.0,528697.0,1009604,2014,367,,1
2130,Tamil Nadu,TN,S22,1,Viluppuram,694932,691942,1387007,535359.0,528788.0,1064158,2014,350,,1
2135,Tamil Nadu,TN,S22,1,Namakkal,661113,668368,1329552,532212.0,526436.0,1058676,2014,353,,1
2144,Tamil Nadu,TN,S22,1,Tenkasi,688958,693084,1382081,489624.0,525986.0,1015613,2014,374,,1
2153,Tamil Nadu,TN,S22,1,Krishnagiri,705468,674363,1379957,546295.0,522804.0,1069117,2014,346,,1
2160,Tamil Nadu,TN,S22,1,Cuddalore,625652,622218,1247908,485201.0,497002.0,982208,2014,363,,1
2165,Tamil Nadu,TN,S22,1,Sivaganga,704489,707884,1412373,474734.0,551559.0,1026293,2014,368,,1
2166,Tamil Nadu,TN,S22,1,Kanniyakumari,743378,724348,1467796,488828.0,501284.0,990114,2014,376,,1
2171,Tamil Nadu,TN,S22,1,Tiruvannamalai,675321,677622,1352966,527265.0,536809.0,1064076,2014,348,,1
2196,Tamil Nadu,TN,S22,1,Chennai South,901211,894252,1795776,556403.0,527433.0,1083847,2014,340,,0
2199,Tamil Nadu,TN,S22,1,Kallakurichi,707219,705147,1412499,541221.0,562429.0,1103662,2014,351,,1
2201,Tamil Nadu,TN,S22,1,Erode,656661,664670,1321399,510564.0,495852.0,1006429,2014,354,,1
2214,Tamil Nadu,TN,S22,1,Chennai central,665282,662504,1328038,421903.0,392161.0,814079,2014,341,,1
2221,Tamil Nadu,TN,S22,1,Mayiladuthurai,679940,670377,1350318,503104.0,520845.0,1023950,2014,365,,1
2224,Tamil Nadu,TN,S22,1,Arani,683921,685715,1369668,546222.0,546279.0,1092502,2014,349,,1
2227,Tamil Nadu,TN,S22,1,Kancheepuram,736993,742956,1480123,572957.0,554099.0,1127056,2014,343,,1
2236,Tamil Nadu,TN,S22,1,Virudhunagar ,669589,680818,1350495,496203.0,512880.0,1009119,2014,371,,1
2238,Tamil Nadu,TN,S22,1,Vellore,652066,660173,1312259,483341.0,490341.0,973687,2014,345,,1
2251,Tamil Nadu,TN,S22,1,Dharmapuri,696496,661700,1358273,567657.0,533724.0,1101416,2014,347,,1
2252,Tamil Nadu,TN,S22,1,Dindigul,696160,704264,1400531,538102.0,544003.0,1082129,2014,359,,1
2263,Tripura,TR,S23,2,Tripura East,581604,558672,1140276,486129.0,459313.0,945442,2014,378,,1
2264,Tripura,TR,S23,2,Tripura West,635974,612572,1248546,543278.0,523020.0,1066298,2014,377,,1
2269,Uttar Pradesh,UP,S24,1,Varanasi,985395,781000,1766487,593071.0,436735.0,1029816,2014,455,,0
2272,Uttar Pradesh,UP,S24,1,Etah,856985,720450,1577457,520186.0,405831.0,926017,2014,400,,0
2283,Uttar Pradesh,UP,S24,1,Kannauj,1000035,808799,1808886,629125.0,484744.0,1113869,2014,420,,0
2284,Uttar Pradesh,UP,S24,1,Amethi,890648,779148,1669843,461524.0,413341.0,874865,2014,415,,0
2294,Uttar Pradesh,UP,S24,1,Mathura,931944,750142,1682260,619776.0,457879.0,1077656,2014,395,,0
2304,Uttar Pradesh,UP,S24,1,Hardoi,939831,774501,1714388,565516.0,407349.0,972865,2014,409,,0
2307,Uttar Pradesh,UP,S24,1,Lalganj,906738,754613,1661470,456872.0,441988.0,898860,2014,446,,0
2316,Uttar Pradesh,UP,S24,1,Sultanpur,910134,793521,1703698,499563.0,465648.0,965211,2014,416,,0
2317,Uttar Pradesh,UP,S24,1,Misrikh,948316,777207,1725589,574416.0,423674.0,998090,2014,410,,0
2327,Uttar Pradesh,UP,S24,1,Kaushambi,954848,783372,1738509,491070.0,418758.0,909828,2014,428,,0
2330,Uttar Pradesh,UP,S24,1,Bareilly,911264,752773,1664081,574826.0,441899.0,1016728,2014,403,,0
2331,Uttar Pradesh,UP,S24,1,Shahjahanpur ,1100020,879139,1979294,663380.0,464707.0,1128087,2014,405,,0
2338,Uttar Pradesh,UP,S24,1,Dhaurahra,846798,711151,1558041,605084.0,454769.0,1059867,2014,407,,0
2342,Uttar Pradesh,UP,S24,1,Hathras,969908,788925,1758927,596865.0,452373.0,1049240,2014,394,,0
2346,Uttar Pradesh,UP,S24,1,Meerut,971956,792318,1764388,631761.0,479781.0,1111542,2014,388,,0
2348,Uttar Pradesh,UP,S24,1,Salempur,904632,756980,1661737,450187.0,404269.0,854457,2014,449,,0
2353,Uttar Pradesh,UP,S24,1,Badaun,978040,791044,1769145,595106.0,431771.0,1026884,2014,401,,0
2371,Uttar Pradesh,UP,S24,1,Jaunpur,1002938,845831,1848842,527140.0,479177.0,1006317,2014,451,,0
2380,Uttar Pradesh,UP,S24,1,Lucknow,1052171,897693,1949956,580513.0,450547.0,1031060,2014,413,,0
2381,Uttar Pradesh,UP,S24,1,Aligarh,965995,827010,1793126,596880.0,467715.0,1064597,2014,393,,0
2384,Uttar Pradesh,UP,S24,1,Bulandshahr,930827,805499,1736436,549613.0,459467.0,1009095,2014,392,,0
2386,Uttar Pradesh,UP,S24,1,Deoria,997314,809319,1806926,508083.0,462357.0,970443,2014,444,,0
2388,Uttar Pradesh,UP,S24,1,Bhadohi,1016000,818442,1834598,527390.0,454368.0,981760,2014,456,,0
2393,Uttar Pradesh,UP,S24,1,Domariyaganj ,961957,799313,1761415,490089.0,444938.0,935027,2014,438,,0
2394,Uttar Pradesh,UP,S24,1,Farrukhabad,891793,721921,1613781,560618.0,409931.0,970549,2014,418,,0
2404,Uttar Pradesh,UP,S24,1,Mirzapur,938504,782028,1720661,557612.0,449962.0,1007581,2014,457,,0
2455,Uttar Pradesh,UP,S24,1,Gonda,935167,775608,1710825,487483.0,384938.0,872422,2014,437,,0
2465,Uttar Pradesh,UP,S24,1,Amroha,829444,714712,1544245,589753.0,505978.0,1095731,2014,387,,0
2486,Uttar Pradesh,UP,S24,1,Gorakhpur,1055209,848621,1903988,582909.0,457008.0,1039934,2014,442,,0
2489,Uttar Pradesh,UP,S24,1,Ballia,973384,794830,1768271,517773.0,423406.0,941182,2014,450,,0
2491,Uttar Pradesh,UP,S24,1,Kushi Nagar,930637,750240,1680992,505771.0,444293.0,950064,2014,443,,0
2496,Uttar Pradesh,UP,S24,1,Sitapur,838148,712053,1550263,581709.0,444625.0,1026334,2014,408,,0
2502,Uttar Pradesh,UP,S24,1,Kanpur,889344,721802,1611248,485562.0,349156.0,834718,2014,421,,0
2505,Uttar Pradesh,UP,S24,1,Gautam Buddha Nagar,1105732,880377,1986109,707052.0,491342.0,1198394,2014,391,,0
2513,Uttar Pradesh,UP,S24,1,Maharajganj,946234,796767,1743131,549757.0,510481.0,1060238,2014,441,,0
2515,Uttar Pradesh,UP,S24,1,Ghosi,1040033,850934,1891112,547380.0,492131.0,1039511,2014,448,,0
2518,Uttar Pradesh,UP,S24,1,Ghazipur,983352,818105,1801519,528986.0,457272.0,986259,2014,453,,0
2520,Uttar Pradesh,UP,S24,1,Rampur,872075,744534,1616972,528149.0,430146.0,958303,2014,385,,0
2521,Uttar Pradesh,UP,S24,1,Kaiserganj,928269,783633,1711967,527027.0,415386.0,942413,2014,435,,0
2537,Uttar Pradesh,UP,S24,1,Robertsganj,901147,737885,1639074,498085.0,387542.0,885628,2014,458,,0
2544,Uttar Pradesh,UP,S24,1,Sant Kabir Nagar,1045424,858808,1904315,521201.0,490916.0,1012117,2014,440,,0
2546,Uttar Pradesh,UP,S24,1,Muzaffarnagar,875179,713220,1588475,618042.0,484660.0,1102713,2014,381,,0
2549,Uttar Pradesh,UP,S24,1,Hamirpur,949328,788636,1737993,550111.0,427480.0,977593,2014,425,,0
2550,Uttar Pradesh,UP,S24,1,Akbarpur,977669,790872,1768635,559566.0,411414.0,970980,2014,422,,0
2553,Uttar Pradesh,UP,S24,1,Agra,1003777,810896,1814739,621497.0,448004.0,1069503,2014,396,,0
2573,Uttar Pradesh,UP,S24,1,Bansgaon,980235,779762,1760090,459714.0,417437.0,877152,2014,445,,0
2575,Uttar Pradesh,UP,S24,1,Machhlishahr ,1026789,865121,1891969,512798.0,483995.0,996793,2014,452,,0
2578,Uttar Pradesh,UP,S24,1,Shrawasti,976415,811613,1788080,559351.0,420598.0,979951,2014,436,,0
2579,Uttar Pradesh,UP,S24,1,Firozabad,902532,734206,1636738,643026.0,461542.0,1104568,2014,398,,0
2581,Uttar Pradesh,UP,S24,1,Jhansi,1034112,897888,1932052,734228.0,586213.0,1320441,2014,424,,0
2582,Uttar Pradesh,UP,S24,1,Banda,884779,717011,1601855,473933.0,384301.0,858234,2014,426,,0
2583,Uttar Pradesh,UP,S24,1,Fatehpur Sikri,877271,703267,1580582,565514.0,401637.0,967152,2014,397,,0
2596,Uttar Pradesh,UP,S24,1,Bahraich,882643,755897,1638640,522529.0,411550.0,934081,2014,434,,0
2602,Uttar Pradesh,UP,S24,1,Ambedkar Nagar,923552,795143,1718774,541195.0,493159.0,1034355,2014,433,,0
2606,Uttar Pradesh,UP,S24,1,Kheri,904863,774542,1679466,606219.0,471614.0,1077848,2014,406,,0
2610,Uttar Pradesh,UP,S24,1,Kairana,840629,691073,1531767,617921.0,500278.0,1118199,2014,380,,1
2613,Uttar Pradesh,UP,S24,1,Nagina,795562,697765,1493419,484049.0,458292.0,942349,2014,383,,1
2614,Uttar Pradesh,UP,S24,1,Moradabad,961935,810050,1771985,626722.0,499370.0,1126092,2014,384,,0
2618,Uttar Pradesh,UP,S24,1,Azamgarh,941447,761573,1703121,504375.0,455380.0,959755,2014,447,,0
2626,Uttar Pradesh,UP,S24,1,Mainpuri,900568,752461,1653058,579581.0,418952.0,998538,2014,399,,0
2628,Uttar Pradesh,UP,S24,1,Aonla,917053,736487,1653577,572213.0,422483.0,994700,2014,402,,0
2639,Uttar Pradesh,UP,S24,1,Etawah,938271,768913,1707237,529547.0,408334.0,937881,2014,419,,0
2641,Uttar Pradesh,UP,S24,1,Allahabad,917403,749001,1666569,506755.0,384075.0,890833,2014,430,,0
2642,Uttar Pradesh,UP,S24,1,Jalaun,1037570,849595,1887189,632802.0,476033.0,1108846,2014,423,,0
2646,Uttar Pradesh,UP,S24,1,Fatehpur,985898,818821,1804753,574629.0,481306.0,1055940,2014,427,,0
2648,Uttar Pradesh,UP,S24,1,Phulpur,1063897,849194,1913275,541264.0,418152.0,959420,2014,429,,0
2657,Uttar Pradesh,UP,S24,1,Mohanlalganj,995313,842841,1838194,637851.0,476997.0,1114848,2014,412,,0
2658,Uttar Pradesh,UP,S24,1,Faizabad,936036,802604,1738701,558076.0,464473.0,1022558,2014,432,,0
2664,Uttar Pradesh,UP,S24,1,Unnao,1194394,969919,2164392,673666.0,526266.0,1199936,2014,411,,0
2684,Uttar Pradesh,UP,S24,1,Sambhal,931603,761516,1693229,599491.0,456319.0,1055817,2014,386,,0
2688,Uttar Pradesh,UP,S24,1,Rae Bareli,857875,737017,1594954,437762.0,387368.0,825130,2014,414,,0
2692,Uttar Pradesh,UP,S24,1,Ghaziabad,1333055,1024455,2357553,781962.0,559856.0,1341818,2014,390,,0
2696,Uttar Pradesh,UP,S24,1,Pilibhit,903414,767687,1671154,586095.0,464229.0,1050342,2014,404,,0
2697,Uttar Pradesh,UP,S24,1,Saharanpur,873318,735452,1608833,652595.0,540479.0,1193086,2014,379,,0
2699,Uttar Pradesh,UP,S24,1,Baghpat,850681,654413,1505175,582431.0,421180.0,1003611,2014,389,,1
2714,Uttar Pradesh,UP,S24,1,Chandauli,887892,705123,1593133,545894.0,433978.0,979873,2014,454,,0
2719,Uttar Pradesh,UP,S24,1,Basti,962508,824831,1787476,549704.0,498809.0,1048521,2014,439,,0
2722,Uttar Pradesh,UP,S24,1,Bijnor,848418,713587,1562081,575976.0,482184.0,1058170,2014,382,,0
2740,Uttar Pradesh,UP,S24,1,Pratapgarh,923411,792852,1716394,454891.0,437808.0,892732,2014,417,,0
2743,Uttar Pradesh,UP,S24,1,Barabanki,925944,795265,1721278,611146.0,457015.0,1068161,2014,431,,0
2750,West Bengal,WB,S25,1,Jangipur,714890,676753,1391656,559290.0,559068.0,1118358,2014,467,,1
2768,West Bengal,WB,S25,1,Basirhat,777768,712812,1490596,677047.0,595849.0,1272897,2014,476,,1
2775,West Bengal,WB,S25,1,Bankura,775893,727919,1503812,644501.0,590353.0,1234854,2014,494,,1
2789,West Bengal,WB,S25,1,Alipurduars,755765,715138,1470911,619392.0,603041.0,1222433,2014,460,,1
2797,West Bengal,WB,S25,1,Murshidabad,782480,729615,1512098,653122.0,635049.0,1288171,2014,469,,1
2801,West Bengal,WB,S25,1,Hooghly,836584,793445,1630042,696614.0,650941.0,1347556,2014,486,,0
2803,West Bengal,WB,S25,1,Diamond harbour,816259,739631,1555914,682840.0,577412.0,1260252,2014,479,,0
2808,West Bengal,WB,S25,1,Maldaha Dakshin,692386,654741,1347143,545088.0,544292.0,1089380,2014,466,,1
2809,West Bengal,WB,S25,1,Ranaghat,831318,771515,1602849,691141.0,658049.0,1349190,2014,471,,0
2832,West Bengal,WB,S25,1,Birbhum,773438,721641,1495089,669860.0,605076.0,1274936,2014,500,,1
2834,West Bengal,WB,S25,1,Barrackpore,682366,604844,1287222,567286.0,481436.0,1048722,2014,473,,1
2837,West Bengal,WB,S25,1,Jadavpur,811441,784269,1595746,666829.0,605165.0,1271994,2014,480,,0
2842,West Bengal,WB,S25,1,Joynagar,757902,700787,1458724,633029.0,555516.0,1188545,2014,477,,1
2845,West Bengal,WB,S25,1,Balurghat,653841,600646,1254497,548053.0,513027.0,1061080,2014,464,,1
2864,West Bengal,WB,S25,1,Maldaha Uttar ,740749,684660,1425428,578561.0,582591.0,1161152,2014,465,,1
2874,West Bengal,WB,S25,1,Bolpur,798378,740033,1538421,682036.0,621426.0,1303462,2014,499,,0
2879,West Bengal,WB,S25,1,Kolkata Dakshin,890251,795037,1685296,626618.0,540007.0,1166625,2014,481,,0
2885,West Bengal,WB,S25,1,Jhargram,753841,721269,1475112,645909.0,610427.0,1256336,2014,491,,1
2887,West Bengal,WB,S25,1,Mathurapur,772277,716496,1488785,662025.0,607691.0,1269716,2014,478,,1
2890,West Bengal,WB,S25,1,Dum dum,715569,690401,1405981,590114.0,539290.0,1129404,2014,474,,1
2892,West Bengal,WB,S25,1,Barasat,774305,738463,1512792,669359.0,596363.0,1265746,2014,475,,1
2895,West Bengal,WB,S25,1,Bishnupur,759317,707604,1466921,667023.0,603708.0,1270731,2014,495,,1
2897,West Bengal,WB,S25,1,Kolkata Uttar,797437,636542,1433985,534806.0,419974.0,954783,2014,482,,1
2898,West Bengal,WB,S25,1,Baharampur,752943,700833,1453783,584203.0,569867.0,1154070,2014,468,,1
2906,West Bengal,WB,S25,1,Asansol,791896,677774,1469684,633286.0,509230.0,1142518,2014,498,,1
2911,West Bengal,WB,S25,1,Darjeeling,737062,700062,1437154,587016.0,553877.0,1140907,2014,462,,1
2913,West Bengal,WB,S25,1,Cooch behar,848641,764757,1613403,687125.0,642008.0,1329133,2014,459,,0
2926,West Bengal,WB,S25,1,Kanthi,777345,713061,1490409,663897.0,626338.0,1290235,2014,489,,1
2930,West Bengal,WB,S25,1,Srerampur,847931,776093,1624038,680999.0,608386.0,1289387,2014,485,,0
2939,West Bengal,WB,S25,1,Tamluk,796779,730482,1527273,684160.0,650897.0,1335058,2014,488,,1
2940,West Bengal,WB,S25,1,Bardhaman Purba,795545,736693,1532244,682635.0,637516.0,1320152,2014,496,,1
