long1,lat,id1,statename,stateabb,pcname,m_electors,f_electors,t_electors,sex_ratio_e,f_vote_turnout,m_vote_turnout,c,l_t,group
74.064293,22.936943,133,Gujarat,GJ,Dahod,712183,699578,1411765,1018,61.253929,65.543686,0,3.75,GJ: Dahod
72.347931,22.983776,145,Gujarat,GJ,Gandhinagar,900744,833210,1733972,1081,61.387886,68.517136,3,10,GJ: Gandhinagar
69.915245,22.249641,128,Gujarat,GJ,Jamnagar,771003,699937,1470952,1102,52.143837,62.785748,1,5,GJ: Jamnagar
70.689529,21.13273,124,Gujarat,GJ,Junagadh,772017,713524,1485543,1082,59.360722,66.569519,1,5,GJ: Junagadh
70.019234,23.608656,543,Gujarat,GJ,Kachchh,806343,727439,1533782,1108,58.212852,64.377068,1,5,GJ: Kachchh
72.672768,22.776363,126,Gujarat,GJ,Kheda,833232,766227,1599476,1087,53.650288,64.836563,2,7.5,GJ: Kheda
72.446808,23.523352,146,Gujarat,GJ,Mahesana,777821,720375,1498219,1080,63.385319,69.568192,1,5,GJ: Mahesana
72.938873,20.903177,140,Gujarat,GJ,Navsari,972090,792480,1764622,1227,64.70018,66.276268,3,10,GJ: Navsari
73.523392,22.932096,132,Gujarat,GJ,Panchmahal,820230,756434,1576667,1084,54.803856,62.474548,2,7.5,GJ: Panchmahal
71.938522,23.845018,131,Gujarat,GJ,Patan,846195,782446,1628641,1081,54.173706,62.13686,2,7.5,GJ: Patan
70.239502,21.659451,143,Gujarat,GJ,Porbandar,807383,731833,1539223,1103,45.887653,58.03838,1,5,GJ: Porbandar
70.911438,22.368584,138,Gujarat,GJ,Rajkot,864760,790949,1655717,1093,58.377975,68.325775,2,7.5,GJ: Rajkot
73.163689,23.659346,129,Gujarat,GJ,Sabarkantha,833521,782318,1615840,1065,64.217751,70.014191,2,7.5,GJ: Sabarkantha
72.759621,21.29355,125,Gujarat,GJ,Surat,803829,680212,1484068,1182,59.970715,67.001312,1,5,GJ: Surat
71.693916,22.744522,139,Gujarat,GJ,Surendranagar,877745,778910,1656657,1127,51.26754,61.435383,2,7.5,GJ: Surendranagar
73.293213,22.45323,134,Gujarat,GJ,Vadodara,849077,789218,1638321,1076,67.625801,73.247299,2,7.5,GJ: Vadodara
73.319916,20.584894,144,Gujarat,GJ,Valsad,775073,736988,1512061,1052,73.024933,74.908943,1,5,GJ: Valsad
77.094482,30.404091,152,Haryana,HR,Ambala,909641,782783,1692424,1162,70.502556,73.4039,2,7.5,HR: Ambala
76.006737,28.504677,159,Haryana,HR,Bhiwani-Mahendragarh,792166,681746,1473912,1162,68.983025,70.620049,1,5,HR: Bhiwani-Mahendragarh
77.332939,28.158781,161,Haryana,HR,Faridabad,969407,770945,1740352,1257,62.187317,67.179314,3,10,HR: Faridabad
76.904137,28.158443,160,Haryana,HR,Gurgaon,984370,860536,1844906,1144,68.932274,73.864502,3,10,HR: Gurgaon
75.914948,29.215559,157,Haryana,HR,Hisar,825688,691918,1517606,1193,74.871445,77.202042,1,5,HR: Hisar
76.905319,29.568861,155,Haryana,HR,Karnal,913321,771000,1684321,1185,68.304672,73.000511,2,7.5,HR: Karnal
76.640549,29.925301,153,Haryana,HR,Kurukshetra,807700,690759,1498459,1169,74.86982,76.573112,1,5,HR: Kurukshetra
76.572853,28.683849,158,Haryana,HR,Rohtak,850127,717381,1567508,1185,64.926727,68.014076,2,7.5,HR: Rohtak
75.215034,29.606947,154,Haryana,HR,Sirsa,886303,774254,1660557,1145,75.698418,78.163452,2,7.5,HR: Sirsa
76.714928,29.15152,156,Haryana,HR,Sonipat,777824,639364,1417188,1217,67.944397,70.862946,0,3.75,HR: Sonipat
76.400154,31.623213,148,Himachal Pradesh,HP,Hamirpur,633572,614126,1247699,1032,71.396912,62.28495,0,3.75,HP: Hamirpur
76.312752,32.454079,149,Himachal Pradesh,HP,Kangra,645888,612713,1258601,1054,66.656654,60.316185,0,3.75,HP: Kangra
77.603195,32.078419,151,Himachal Pradesh,HP,Mandi,587833,562575,1150408,1045,61.854332,64.149681,0,3.75,HP: Mandi
77.399681,30.968246,150,Himachal Pradesh,HP,Shimla,607137,546225,1153363,1112,61.094788,66.387321,0,3.75,HP: Shimla
75.120026,33.788433,179,Jammu & Kashmir,JK,Anantnag,685000,616104,1301143,1112,26.560938,30.889782,0,3.75,JK: Anantnag
74.513016,34.431744,180,Jammu & Kashmir,JK,Baramulla,624014,566724,1190766,1101,37.000549,41.070873,0,3.75,JK: Baramulla
74.561119,33.14286,177,Jammu & Kashmir,JK,Jammu,977308,870834,1848155,1122,67.475662,68.054085,3,10,JK: Jammu
77.523857,33.901825,176,Jammu & Kashmir,JK,Ladakh,86256,80503,166763,1071,74.533867,66.270172,0,3.75,JK: Ladakh
74.856308,34.116341,178,Jammu & Kashmir,JK,Srinagar,631520,575702,1207230,1097,23.176748,28.309317,0,3.75,JK: Srinagar
75.620979,33.223076,181,Jammu & Kashmir,JK,Udhampur,787637,681434,1469072,1156,71.076286,70.691322,1,5,JK: Udhampur
84.623749,23.948668,173,Jharkhand,JH,Chatra,696501,616060,1312562,1131,53.525143,55.019878,0,3.75,JH: Chatra
86.42289,23.703695,169,Jharkhand,JH,Dhanbad,1032038,857981,1890021,1203,58.431599,62.260983,3,10,JH: Dhanbad
87.123764,24.16205,165,Jharkhand,JH,Dumka,658403,614641,1273049,1071,70.918633,70.871338,0,3.75,JH: Dumka
86.064758,23.861189,175,Jharkhand,JH,Giridih,811587,700052,1511644,1159,62.744053,65.548363,1,5,JH: Giridih
86.953026,24.566868,166,Jharkhand,JH,Godda,840396,750375,1590772,1120,66.533936,65.427963,2,7.5,JH: Godda
85.435272,23.945152,168,Jharkhand,JH,Hazaribagh,812554,706367,1518923,1150,64.021675,63.386803,1,5,JH: Hazaribagh
86.452667,22.582561,162,Jharkhand,JH,Jamshedpur,811632,770030,1581665,1054,65.066689,67.529251,2,7.5,JH: Jamshedpur
85.021484,22.789576,172,Jharkhand,JH,Khunti,565457,546398,1111856,1035,66.647758,66.019875,0,3.75,JH: Khunti
85.94046,24.367521,170,Jharkhand,JH,Kodarma,870003,769641,1639645,1130,63.613167,61.529442,2,7.5,JH: Kodarma
84.633644,23.234928,171,Jharkhand,JH,Lohardaga,578880,540264,1119144,1071,58.769047,57.667393,0,3.75,JH: Lohardaga
83.877068,24.163893,167,Jharkhand,JH,Palamau,889932,756024,1645957,1177,59.984074,58.78067,2,7.5,JH: Palamau
87.622101,24.801445,164,Jharkhand,JH,Rajmahal,691403,662063,1353467,1044,69.550934,70.989571,0,3.75,JH: Rajmahal
85.589569,23.293884,174,Jharkhand,JH,Ranchi,868528,779930,1648459,1114,62.469837,64.751396,2,7.5,JH: Ranchi
85.565918,22.442068,163,Jharkhand,JH,Singhbhum,583330,569300,1152632,1025,68.79554,69.183998,0,3.75,JH: Singhbhum
75.614563,16.125847,210,Karnataka,KA,Bagalkot,793354,775172,1568633,1023,66.734993,70.774712,2,7.5,KA: Bagalkot
77.533081,12.981676,196,Karnataka,KA,Bangalore North,1260356,1140751,2401472,1105,55.6273,57.197968,3,10,KA: Bangalore North
77.316238,12.7359,194,Karnataka,KA,Bangalore Rural,1135853,1054284,2190398,1077,66.048615,66.791298,3,10,KA: Bangalore Rural
77.593437,12.92433,208,Karnataka,KA,Bangalore South,1050737,947667,1998724,1109,54.471348,56.787571,3,10,KA: Bangalore South
77.692497,12.992895,209,Karnataka,KA,Bangalore Central,1010478,920679,1931456,1098,54.337399,56.770855,3,10,KA: Bangalore Central
74.982918,15.970703,207,Karnataka,KA,Belgaum,807485,773259,1580895,1044,65.705544,70.545212,2,7.5,KA: Belgaum
76.477188,15.045803,201,Karnataka,KA,Bellary,750789,737003,1487945,1019,68.321838,72.17807,1,5,KA: Bellary
77.128563,17.790087,203,Karnataka,KA,Bidar,839154,761738,1600962,1102,59.681282,60.541451,2,7.5,KA: Bidar
75.953094,16.793722,184,Karnataka,KA,Bijapur,847815,774643,1622635,1094,57.528049,61.4627,2,7.5,KA: Bijapur
76.898453,12.001026,199,Karnataka,KA,Chamarajanagar,789384,766336,1555781,1030,71.434204,74.116402,2,7.5,KA: Chamarajanagar
77.643356,13.416919,190,Karnataka,KA,Chikkballapur,843790,814500,1658410,1036,74.735176,77.356567,2,7.5,KA: Chikkballapur
74.787842,16.490023,185,Karnataka,KA,Chikkodi,746023,696120,1442206,1072,72.776817,75.607857,1,5,KA: Chikkodi
76.649742,14.127404,202,Karnataka,KA,Chitradurga,844869,816317,1661277,1035,64.227867,67.769913,2,7.5,KA: Chitradurga
75.255623,12.849572,197,Karnataka,KA,Dakshina Kannada,774454,790765,1565219,979,77.35218,76.88591,2,7.5,KA: Dakshina Kannada
75.954781,14.408041,189,Karnataka,KA,Davanagere,772126,750480,1522712,1029,71.072517,75.260902,1,5,KA: Davanagere
75.167549,15.324309,195,Karnataka,KA,Dharwad,808768,769269,1578125,1051,62.080105,69.595604,2,7.5,KA: Dharwad
76.908173,17.106039,183,Karnataka,KA,Gulbarga,878311,843454,1721990,1041,56.238632,59.520832,3,10,KA: Gulbarga
76.106674,13.080464,206,Karnataka,KA,Hassan,789847,771551,1561486,1024,72.678932,74.159805,2,7.5,KA: Hassan
75.572456,14.985744,188,Karnataka,KA,Haveri,807076,751596,1558749,1074,69.254227,73.716232,2,7.5,KA: Haveri
78.156685,13.230686,193,Karnataka,KA,Kolar,755450,737386,1492977,1024,73.779808,77.030113,1,5,KA: Kolar
76.431854,15.642241,187,Karnataka,KA,Koppal,770316,764694,1535105,1007,62.848278,68.298851,1,5,KA: Koppal
76.74501,12.60028,200,Karnataka,KA,Mandya,839052,830121,1669262,1011,70.749443,72.044525,2,7.5,KA: Mandya
75.984032,12.322643,198,Karnataka,KA,Mysore,867893,855100,1723134,1015,65.608932,68.707893,3,10,KA: Mysore
76.894463,16.339323,186,Karnataka,KA,Raichur,835969,825327,1661606,1013,56.631008,59.945045,2,7.5,KA: Raichur
75.168732,14.009826,205,Karnataka,KA,Shimoga,778782,783379,1562243,994,71.075432,73.487442,2,7.5,KA: Shimoga
76.886978,13.43202,192,Karnataka,KA,Tumkur,764561,753839,1518518,1014,71.049255,73.9151,1,5,KA: Tumkur
75.414398,13.41318,191,Karnataka,KA,Udupi Chikmagalur,679285,707947,1387294,960,73.803268,75.161674,0,3.75,KA: Udupi Chikmagalur
74.611046,14.961987,204,Karnataka,KA,Uttara Kannada,742865,707704,1450599,1050,67.714325,70.16349,1,5,KA: Uttara Kannada
76.412788,9.4434958,225,Kerala,KL,Alappuzha,611877,659447,1271324,928,78.546875,77.962402,0,3.75,KL: Alappuzha
76.539658,10.60682,217,Kerala,KL,Alathur,591950,624401,1216351,948,75.974251,76.513725,0,3.75,KL: Alathur
76.98513,8.6731596,219,Kerala,KL,Attingal,575780,675618,1251398,852,68.384209,68.514191,0,3.75,KL: Attingal
76.467117,10.220501,223,Kerala,KL,Chalakudy,565083,585414,1150497,965,76.341698,77.368637,0,3.75,KL: Chalakudy
76.282761,10.034523,228,Kerala,KL,Ernakulam,565836,590656,1156492,958,71.337799,75.74704,0,3.75,KL: Ernakulam
76.989792,9.8976946,224,Kerala,KL,Idukki,578849,579886,1158735,998,67.962151,73.400665,0,3.75,KL: Idukki
75.576332,11.993821,222,Kerala,KL,Kannur,548454,621812,1170266,882,81.534775,80.0233,0,3.75,KL: Kannur
75.187943,12.387557,218,Kerala,KL,Kasaragod,595047,648683,1243730,917,79.288803,77.183823,0,3.75,KL: Kasaragod
76.936142,8.9189138,227,Kerala,KL,Kollam,575296,644119,1219415,893,72.81636,70.728462,0,3.75,KL: Kollam
